,text_jw
0,"ang wus kasumurupan, karajane bangsa Indhu ana ing Tanah Jawa, kang dhisik dhewe, diarani karajan ""Tarumanagara"" (Tarum = tom. kaline jeneng Citarum). Karajan iku mau dhek abad kaping 4 lan 5 wis ana, dene titi mangsaning adege ora kawruhan. Ratu ratune darah Purnawarman. Mirit saka gambar gambar kembang tunjung kang ana ing watu watu patilasan, darah Purnawarman iku padha nganggo agama Wisnu. Ing tahun 414 ana Cina aran Fa Hien, mulih saka enggone sujarah menyang patilasane Resi Budha, ing tanah Indhu Ngarep mampir ing Tanah Jawa nganti 5 sasi. Ing cathetane ana kang nerangake mangkene : 1. Ing kono akeh wong ora duwe agama (wong Sundha), sarta ora ana kang tunggal agama karo dhewekne: Budha. 2. Bangsa Cina ora ana, awit ora kasebut ing cathetane. 3. Barengane nunggang prahu saka Indhu wong 200, ana sing dedagangan, ana kang mung lelungan, karepe arep padha menyang Canton."
1,"Yen mangkono dadi dalane dedagangan saka tanah Indhu Ngarep menyang tanah Cina pancen ngliwati Tanah Jawa. Ing Tahun 435 malah wis ana utusane Ratu Jawa Kulon menyang tanah Cina, ngaturake pisungsung menyang Maharaja ing tanah Cina, minangka tandhaning tetepungan sarta murih gampang lakuning dedagangan. Karajan Tarumanagara mau ora kasumurupan pirang tahun suwene lan kepriye rusake. Wong Indhu ana ing kono ora ngowahake adat lan panguripane wong bumi, awit pancen ora gelem mulangi apa apa, lan wong bumi uga durung duwe akal niru kapinterane wong Indhu. Ewa dene meksa ana kaundhakaning kawruhe, yaiku mbatik lan nyoga jarit."
2,"Mirit saka: 1. Cathetane bangsa Cina 2. Unining tulisan tulisan kang ana ing watu watu lan candhi 3. Cathetane sawijining wong Arab, wis bisa kasumurupan sathithik sathithik mungguh kaananing wong Indhu ana ing Tanah Jawa Tengah dhek jaman samono. alika wiwitane abad kang kanem ana wong Indhu anyar teka ing Tanah Jawa Kulon. Ana ing kono padha kena ing lelara, mulane banjur padha nglereg mangetan, menyang Tanah Jawa Tengah. Wong Jawa wektu samono, isih kari banget kapinterane, yen ditandhing karo wong Indhu kang lagi neneka mau; mulane banjur dadi sor- sorane. Wong Indhu banjur ngadegake karajan ing Jepara."
3,"Omah omah padunungane wong Jawa, ya wis memper karo omah omahe wong jaman saiki, apayon atep utawa eduk lan wis nganggo kepang. Enggone dedagangan lelawanan karo wong Cina; barang dedagangane kayata: emas, salaka, gading lan liya liyane. Cina cina ngarani nagara iku Kalinga, besuke, ya diarani: Jawa. Karajan mau saya suwe saya gedhe, malah nganti mbawahake karajan cilik cilik 28 (wolu likur). Wong Cina uga nyebutake asmane sawijining ratu putri: Sima; dikandakake becik banget enggone nyekel pangrehing praja (tahun 674). Tulisaning watu kang ana cirine tahun 732, dadi kang tuwa dhewe, katemu ana sacedhake Magelang, nyebutake, manawa ana ratu kang jumeneng, jejuluk Prabu Sannaha, karajane gedhe, kang klebu jajahane yaiku tanah tanah Kedhu, Ngayogyakarta, Surakarta lan bokmenawa Tanah Jawa Wetan uga klebu dadi wewengkone karajan iku. Mirit caritane, karajan kang kasebut iku tata tentrem banget kaya kang kasebut ing tulisan kang katemu ana ing patilasan: Nadyan wong wong padha turu ana ing dalan dalan, ora sumelang, yen ana begal utawa bebaya liyane. Mirit kandhane sawijining wong Arab, dhek tengah tengahane abad kang kaping sanga, ratu ing Tanah Jawa wis mbawahake tanah Kedah ing Malaka (pamelikan timah). Karajan ing dhuwur iki sakawit ora kawruhan jenenge, nanging banjur ana karangan kang katulis ing watu kang titi mangsane tahun 919, nyebutake karajan Jawa ing Mataram. Jembar jajahane, mungguha saiki tekan Kedhu, Ngayogyakarta, Surakarta; manglore tekan sagara; mangetane tekan tanah tanah ing Tanah Jawa Wetan sawatara. Kuthane karan : Mendhangkamulan. Wong Arab ngandhakake, ana ratu Jawa mbedhah karajan Khamer (Indhu Buri). Sing kasebut iki ayake iya karajan Mataram mau. Kajaba Khamer, karajan Jawa iya wis mbawahake pulo pulo akeh. Pulo pulo iku mawa gunung geni. Karajan Jawa mau sugih emas lan bumbu craken. Wong Arab iya akeh kang lelawanan dedagangan. Sabakdane tahun 928 ora ana katrangan apa apa ing bab kaanane karajan Mataram."
4,"Kang kacarita banjur ing Tanah Jawa Wetan. Ayake bae karajan Mataram mau rusak dening panjebluge gunung Merapi (Merbabu), dene wonge kang akeh padha ngungsi mangetan. Ing abad 17 karajan Mataram banjur madeg maneh, gedhe lan panguwasane irib iriban karo karajan Mataram kuna. Agamane wong Indhu sing padha ngejawa rupa rupa. Ana ing tanah wutah getihe dhewe ing kunane wong Indhu ngedhep marang Brahma, Wisnu lan Syiwah, iya iku kang kaaranan Trimurti. Kejaba saka iku uga nembah marang dewa akeh liya liyane, kayata: Ganesya, putrane Bethari Durga. Manut piwulange agama Indhu pamerange manungsa dadi patang golongan, yaiku: - para Brahmana (bangsa pandhita) - para Satriya (bangsa luhur) - para Wesya (bangsa kriya) - para Syudra (bangsa wong cilik) Piwulange agama lan padatane wong Indhu kaemot ing layang kang misuwur, jenenge Wedha. Kira kira 500 tahun sadurunge wiwitane tahun Kristen, ing tanah Indhu ana sawijining darah luhur peparab Syakya Muni, Gautama utawa Budha. Mungguh piwulange geseh banget karo agamane wong Indhu mau. Resi Budha ninggal marang kadonyan, asesirik lan mulang muruk marang wong. Kajaba ora nembah dewa dewa, piwulange: sarehne wong iku mungguhing kamanungsane padha bae, dadine ora kena diperang patang golongan. Para Brahmana Indhu mesthi bae ora seneng pikire, mulane kerep ana pasulayan gedhe. Ana ing tanah Indhu wong Budha mau banjur peperangan karo wong agama Indhu. Wusana bangsa Budha kalah lan banjur ngili menyang Ceylon sisih kidul, Indu Buri, Thibet, Cina, Jepang. Mungguh wong agama Indhu iku pangedepe ora padha. Ana sing banget olehe memundhi marang Syiwah yaiku para Syiwaiet (ing Tanah Jawa Tengah); ana sing banget pangedepe marang Wisynu, yaiku para Wisynuiet (ing Tanah Jawa Kulon). Kajaba saka iku uga akeh wong agama Budha, nanging ana ing Tanah Jawa agama agama iku bisa rukun, malah sok dicampur bae."
5,"Petilasane agama Indhu mau saikine akeh banget, kayata: Candhi candhi ing plato Dieng (Syiwah), iku bokmenawa yasane ratu darah Sanjaya. Candhi ing Kalasan ana titi mangsane tahun 778, ayake iki candhi tuwa dhewe (Budha), yasane ratu darah Syailendra. Candhi Budha kang misuwur dhewe, yaiku Barabudhur lan Mendut. Candhi Prambanan (Syiwah). Ing sacedhake Prambanan ana candhi campuran Budha lan Syiwah."
6,"ng dhuwur wus kasebutake yen Tanah Jawa Wetan, kabawah karajan Indhu ing Mataram; nanging wong Indhu kang manggon ana ing Tanah Jawa Wetan ora pati akeh, yen katimbang karo kang manggon ing Tanah Jawa Tengah (Kedhu). Marga saka iku wong Indhu kudu kumpul karo wong bumi, prasasat tunggal dadi sabangsa. Ing wiwitane abad 10 ana pepatihing karajan Tanah Jawa Tengah aran Empu Sindhok lolos mangetan. Let sawatara tahun empu Sindhok mau jumeneng ratu ing Tanah Jawa Wetan, karajane ing Kauripan (Paresidhenan Surabaya sisih kidul). Ambawahake: Surabaya, Pasuruwan, Kedhiri, Bali bok manawa iya kabawah. Enggone jumeneng ratu tekan tahun 944 lan iya jejuluk Nata ing Mataram. Nata ing Mataram mau banget pangedepe marang agama Budha. Empu Sindhok misuwur wasis enggone ngereh praja. Ana cathetan kang muni mangkene: ""Awit saka suwening enggone jumeneng ratu, marcapada katon tentrem; wulu wetuning bumi nganti turah turah ora karuhan kehe. "" Ing tahun 1010 Erlangga tetep jumeneng ratu, banjur nerusake enggone mangun paprangan lan ngelar jajahan. Ing tahun 1037 enggone paprangan wis rampung, negara reja, para kawula padha tentrem. Dene karatone iya ana ing Kauripan. Sang Prabu Erlangga ora kesupen marang kabecikaning para pandhita lan para tapa, kang gedhe pitulungane nalika panjenengane lagi kasrakat."
7,"Minangka pamalesing kabecikane para pandhita, Sang Nata yasa pasraman apik banget, dumunung ing sikile gunung Penanggungan. Pasraman mau kinubeng ing patamanan kang luwih dening asri, lan rerenggane sarwa peni sarta endah. Saka edine, nganti misuwur ing manca praja, saben dina aselur wong kang padha sujarah mrono. Pangadilane Sang Nata jejeg. Wong desa kang nrajang angger angger nagara padha kapatrapan paukuman utawa didhendha. Kecu, maling, sapanunggalane kapatrapan ukum pati. Sang Prabu enggone nindakake paprentahan dibantu ing priyagung 4, padha oleh asil saka pametuning lemah lenggahe. Saka enggone manggalih marang tetanen yaiku pagaweyaning kawula kang akeh, Sang Nata yasa bendungan gedhe ana ing kali Brantas. Sang Nata uga menggalih banget marang panggaotan lan dedagangan. Kutha Tuban nalika samono panggonan sudagar, oleh biyantu akeh banget saka Sang Prabu murih majuning dedagangan lan lelayaran. Sang Nata yen sinewaka lenggah dhampar (palenggahan cendhek pesagi), ngagem agem ageman sarwa sutra, remane diukel lan ngagem cenela. Yen miyos nitih dwipangga utawa rata, diarak prajurit 700. Punggawa lan kawula kang kapethuk tindake Sang Nata banjur padha sumungkem ing lemah (ndhodhok ngapurancang?). Para kawula padha ngore rambut, enggone bebedan tekan ing wates dhadha. Omahe kalebu asri, nganggo payon gendheng kuning utawa abang. Wong lara padha ora tetamba mung nyuwun pitulunganing para dewa bae, utawa marang Budha. Wong wong padha seneng praon lan lelungan turut gunung, akeh kang nunggang tandhu utawa joli. Dhek samono wong wong iya wis padha bisa njoget, gamelane suling, kendhang lan gambang. Karsane Sang Prabu besuk ing sapengkere kang gumanti jumeneng Nata putrane loro pisan, mulane kratone banjur diparo: Jenggala (sabageyaning: Surabaya sarta Pasuruwan) lan Kedhiri."
8,"Dene kang minangka watese: pager tembok kang sinebut ""Pinggir Raksa"", wiwit saka puncaking Gunung Kawi, mangisor, nurut kali Leksa banjur urut ing branglore kali Brantas saka wetan mangulon tekan ing desa kang saiki aran ""Juga"", nuli munggah mangidul, teruse kira kira nganti tumeka ing pasisir. Gugur gugurane tembok iku saiki isih ana tilase, kayata ing sacedhaking kali Leksa, sakulon lan sakiduling kali Brantas, ing watesing afd. Malang lan Blitar. Mungguhing babad Jawa jumenenge Prabu Erlangga kaanggep minangka pepadhang sajroning pepeteng, awit rada akeh caritane kang kasumurupan. Kawruh kasusastran wis dhuwur. Layang layange ing jaman iku tekane ing jaman saiki isih misuwur becik lan dadi teturutaning crita crita wayang. Layang layang mau basane diarani: Jawa Kuna, kayata: 1. Layang Mahabarata 2. Layang Ramayana lan Arjuna Wiwaha. Karajan Jenggala ora lestari gedhe, awit pecah pecah dadi karajan cilik cilik, marga saka diwaris marang putraning Nata; yaiku praja Jenggala (Jenggala anyar); Tumapel utawa Singasari lan Urawan. Karajan cilik cilik kang cedhak wates Kedhiri or suwe banjur ngumpul melu Kedhiri, liyane isih terus madeg dhewe nganti tekan abad 13. Kerajan Kedhiri (Daha, Panjalu) mungguha saiki mbawahake paresidhenan Kedhiri, saperangane Pasuruwan lan Madiyun. Kuthane ana ing kutha Kedhiri saiki. Karajan mau bisa dadi kuncara. Ing wektu iku kasusastran Jawa dhuwur banget, nalika jamane Jayabaya (abad 12) ngluwihi kang uwis uwis lan tumekane jaman saiki isih sinebut luhur, durung ana kang madhani. Ing tahun 1104 ing kedhaton ana pujangga jenenge: Triguna utawa Managocna. Pujangga iku sing nganggit layang Sumanasantaka lan Kresnayana. Raden putra utawa Panji kang kacarita ing dongeng kae, bokmenawa iya ratu ing Daha, kang jejuluk Prabu Kamesywara I. Jumeneng ana wiwitane abad kang kaping 12. Garwane kekasih ratu Kirana (Candra Kirana) putrane ratu Jenggala. Ing mangsa iki ana pujangga jenenge Empu Dharmaja nganggit layang Smaradhana."
9,"Raden Panji nganti saiki tansah kacarita ana lakone wayang gedhog lan wayang topeng. Pujanggane Jayabaya aran Empu Sedah lan Empu Panuluh. Empu Sedah ing tahun Saka 1079 (= 1157) methik saperanganing layang Mahabarata, dianggit lan didhapur cara Jawa, dijenengake layang Bharata Yudha. Wong Jawa ing wektu iku wis pinter, wong Indhu kesilep, karajan Indhu wis dadi karajan Jawa."
