,text_jw
0,"usti, napa niki garising kuwaos panjenengan? Sampun titiwancinipun kula lengser keprabon. Puloh Gusti, sinten leh ingkang badhe nglajengaken ngasta punjering nagari menawi dinten samangke kula dereng dipunparengaken gadhah putra? Dhuh Gusti ingkang akarya jagad, menawi kepareng kula nyuwun dhateng panjenengan, nenggih putra ingkang saged nglajengaken tanggel jawab kula, ngasta punjering Kosala. Namung panjenengan Gusti ingkang wenang ngabulaken donga kula. Namung panjenengan, Gusti. "" Akir-akir iki Sang Prabu Dasarata gumane jumeneng dhewekan tanpa kanca. Srengenge wis meh angslup, kembang sedhap malam sing manekawerna wiwit dha merkok. Masia wangine kembang-kembang taman wiwit semrebel, tapeka ogak nggawek penggalihe sang prabu dadi ayem. Sang prabu lagek nandang sungkawa. Angger dina sing dipenggalih iku-iku thok, ngantek sarirane kuru aking. Masia ngono Sang Prabu Dasarata ogak lali marang Kang Kuwasa. Ancene menungsa isane ngupaya lan ndonga marang Gusti gen panyuwune isa diijabahi. Sing gawek sedhehe Prabu Dasarata yaiku wis pirang-pirang taun dadi ratu ugung ngantek kagungan putra. Mangka yuswane wis saya tuwa. Sang prabu tansah menggalih sapa sing ameh nggenteni nata nagara nek ngantek prabu seda? Prabu Dasarata iku ratu neng Nagara Kosala. Lha pamarintahane manggon neng Kutha Ngayodya. Ratu Dasarata mimpin nagara kanthi wicaksana, mulane Nagara Kosala dadi nagara sing ayem tentrem gemah ripah loh jinawi. Kabeh rakyate kurmat lan sungkan marang sang prabu sakaluwarga. Merga tindak-tanduke ratu sing becik, sugih tapeka gak sumugih, pinter tapeka gak keminter, tur jadhug tapeka gak sok jadhug, Kosala dadi nagara sing kondhang. Akeh nagara liya sing tundhuk lan ngurmati Kosala. Para prajurit sing dadi beteng nagara dilatih lan didhidhik dadi matoh tur berbudi, mula ogak ana musoh sing wani nyedhaki. Dasarata kagungan garwa telu sing ayu lan bekti marang guru laki. Garwa siji lan sijine dha urip rukun gak tau sing jenenge tukaran. Garwa sepisan asmane Dewi Kosalya, nomer loro Dewi Kaikeyi, dene sing terakir asmane Dewi Sumitra."
1,"Cakut dhek mben ngantek suwene bebojoan, ratu lan para prameswarine ugung diparingi putra. Mulane, perkara iku sing gawek ratu nandang sungkawa. ""Kakang, mbok sampun leh, sedhehe. Ampun ngantos kebangeten anggenipun menggalih. Mangke pripun nek warga Ngayodya ngertos ratunipun tansah nandang sungkawa? Godhong-godhongan nika mawon sami rontok awit ngraosaken penggalihipun paduka. "" Dewi Kosalya sing mriksani sang prabu meneng nganggur gak ana bature, banjur nyedhaki lan nyoba atur panglipur. ""Sapa wonge sing ogak sedheh leh, Yayi? Umurku saiki wis saya tuwa lan sedhiluk meneh wayahe lengser keprabon. Lha mungga sawayah-wayah aku ditimbali Gusti, terus sapa sing ameh nggenteni mimpin nagara iki?"" Prabu Dasarata ngendikakke isen- isene penggalihe marang garwane, puloh pandengane tetep adoh mrana. Iki ogak merga sang prabu ngamuk- garwane, puloh sang prabu iseh abot nandang duhkita. ""Kakang ampun ngendika ngoten niku. Kula minangka rayatane paduka, nyuwun ngapunten sanget awit ngantos saniki dereng dipunparengaken gadhah putra kagem panjenengan. "" Dewi Kosalya malah rumangsa saya salah. ""Ogak ngono, Yayi. Iki ogak merga salahem, salahe Kaikeyi, utawa salahe Sumitra. Ancene Gusti ugung ngersakake dhewe nggendhong putra. Kowe aja malah rumangsa salah, Yayi. Kakang enjuk ngapura. "" ""Inggih, Kakang. Mbok menawi Gusti nembe nyobi kasabaran kula lan paduka. Awit niku leh, Kakang ampun kerem ing madyaning raos kasungkawan. Sungkawanipun Kakang inggih sungkawa kula, Dhiajeng Kaikeyi, Dhiajeng Sumitra, lan warga Ngayodya sedaya. "" ""Iya, bener kandhanem, Yayi. Awake dhewe iki ancene ya mok isa nyuwun marang Gusti. Mulane, kapung aku lan kowe iseh isa nyuwun, ayo aja ngantek kesel ndonga gen Gusti maringi putra. "" Prabu Dasarata lan Dewi Kosalya sarujuk ape nganakna bancakan. Bancakan iku minangka donga marang Kang Kuwasa kanthi ngedum rejeki ambek tangga-tangga gen dikabulna panyuwune menungsa. Masia gumane nganakna bancakan lan andum rejeki marang warga Ngayodya, puloh sang prabu prameswarine ogak mboheman apa meneh ngrasa rugi."
2,"Ratu lan prameswari seneng maringi ogak tau wadil karo liyane. Kabeh iku dianakna kanthi iklas idhep- idhep sedhekah marang rakyate. Esuke, ratu, prameswari, punggawa kraton, sesepuh, tabib-tabib, lan warga Ngayodya nglumpuk neng latar kraton nekani bancakan. Para emban kraton keron nyawisna thethek mbengeke bancakan. Bancakan dina iki beda karo bancakan-bancakan sadurunge. Ubarampe bancakan lan jajan-jajanan saya diakehi lan dijangkepi. Sadurunge bancakan wiwit, ana upacara adat sing kudu dilakoni. Upacara adat kasebut jenenge upacara aswaweda yaiku nyembeleh jaran sing cacahe akeh. Jaran-jaran disembeleh dening sesepuh kraton, sawise iku diterusna ndonga lan andum bancakan. Pinuju sesepuh macakna donga, swasana dadi sepi nyenyet. Sing keprungu mung swarane sesepuh thok. Wong-wong padha kidmat entuke ndonga. Kabeh tansah ngenteni tekane si jabang bayi paringane Gusti. Limang dina sawise bancakan, kabar nyenengake. Bancakan sing dianakna wingi kae ogak siya-siya. Tabib kraton ngeki kabar nek para garwa nata wis padha nggarbini. Krungu kabar ngono, ratu seneng biyanget. Prabu Dasarata langsung paring dhawuh kanggo nganakna bancakan meneh minangka konjuk sokur marang Gusti kang murbeng dumadi merga dongane diijabahi. Suwene suwe, bayi sing dienten-enteni tekane sidane lair. Para prameswari ndanak neng dina sing padha. Dewi Kosalya nglairna putra barep dikeki jeneng Raden Ramawijaya. Dewi Kaikeyi uga nglairna putra siji dijenengi Raden Barata. Dene putra kembar miyos saka Dewi Sumitra banjur dijenengi Raden Laksmana lan Raden Satrugna. Sepira senenge Prabu Dasarata merga saiki kagungan jagowan papat sing bakal diandelna kanggo njaga Ngayodya. Bocah papat digulawenthah kaya putra-putra ratu liyane. Masia dadi sedulur seje ibu, Rama lan adhi-adhike padha tresna lan sih, mula isa urip rukun bebarengan. Putra-putra ratu diwulang dening resi-resi sing paling kondhang neng nagara kono. Cakut ngelmu agama, solah bawa, kanuragan, nata nagara, ngantek ngelmu perang lan carane nggunakna gaman kabeh diwulangna marang kapapate."
3,"Ratu lan prameswari tansah ndonga gen putra-putrane dadi satriya pinilih, semono uga dongane para warga Ngayodya. Para warga melu seneng merga saiki Ngayodya duwe pangeran papat sing becik tindak-tanduke. Nuju sawijining dina, ana resi agung sowan mara Kraton Ngayodya. Ameh ana perlu apa ya kira-kira? Lan sapa leh, resi iku? Ayo jake, wacanen crita candhake! ring. sring. sring. "" Abene swara pedhang-pedhange prajurit Ngayodya sing lagek padha latiyan neng papan gladhen jurit. Ogak mok latiyan nganggo pedhang thok, neng kana ya ana prajurit sing latiyan manah uga silat ngolah raga. Neng tengah-tengahing kana ana kailokan sing marahi bungahing Ratu Dasarata. Para putra ratu digladhi manah dening guru sing wis dipercaya. Pangeran papat padha prigel latiyan, sing paling mbaut manah ogak liya ya Raden Ramawijaya. Saiki para putra Dasarata wis saya gedhe lan saya tambah kepinteran lan keprigelane. Wayah sang prabu lagek mriksani gladhene para putra saka kadohan, ujug-ujug ana palaporan saka salah sijine prajurit nek ana dhayoh. Penggalihe ratu karuwan tansah menggalih, bareng ngerti sapa sing merdhayoh. Ana perlu apa wong agung lan wong paling disungkani iku ujug-ujug sowan kraton? Dhayoh sing dimaksud gak liya ya Resi Wiswamitra. Wiswamitra salah sijine resi sing paling kondhang. Piyambake manggon neng alas lan mimpin para petapa sing semedi neng kana. Nek sang resi ngantek sowan mara kraton, mesthi ana bab sing wigati banget. Sang prabu dhawuh supaya nyumanggakna sang resi. Sang resi cariyos marang sang prabu nek neng alas, para petapa diganggu dening para raseksa. Sang resi pitados nek sing isa ngalahna raseksa-raseksa iku mung Raden Rama putrane ratu. Mula, sowane iku gak liya nyuwun pangestu marang ratu kanggo ngajak Rama mara alas merangi raseksa. ""Ngeten Resi, ampun Rama ingkang jenengan utus. Rama niku taksih alit. Kula piyambak ingkang badhe dherekaken Resi kangge numpes para raseksa."
4,""" Ratu Dasarata jane ogak tega ngeculna putrane sing iseh cilik kanggo numpes raseksa. Nanging sang resi tetep gak gelem nek ogak Rama dhewe sing mangkat. Neng tapane wingi kae, sang resi entuk wangsit ya mung Rama putra Dasarata sing isa ngalahna para raseksa. Resi Wiswamitra uga janji nek piyambake dhewe sing ameh nggulawentah Ramawijaya. Sang prabu rumangsa nek ngendikane tamu agung babagan wangsit ogak baen-baen. Masia rada abot, sidane sang prabu ngolehi Rama melok sang resi. Rama mangkat dikancani Laksmana. Pas tekan alas, Rama lan Laksmana kaget ngerti panggonane para petapa. Lemah padha nela, wit-witan padha ambruk, watu gedhe pating glundhung ngalang- alangi dalan, lan kahanane para petapa sing nelangsa merga gak kusuk semedi. ""Kanjeng Resi, kenging menapa kawontenanipun wana kados mekaten?"" Rama kanthi ati miris njajal takon marang Resi Wiswamitra. ""Lha iki sing meh takduduhna kowe, Cung. Gene kok aku ngajak kowe mara rene? Ya merga alas iki wis dijarah para raseksa. Resi-resi padha buyar entuke tapa marahi diganggoni raseksa. Lha sing isa ngalahna raseksa-raseksa iku ya mok kowe thok, Rama. "" Resi Wiswamitra mangsuli pitakone Rama manteb. ""Napa kula saged, Resi? Kula dereng saged menapa-menapa. Napa melih numpes para raseksa ingkang dereng nate kula panggihi. "" Rama kaget ambek wangsulane sang resi. Neng atine tansah ketir- ketir merga wedi. Laksmana uga kaget krungu ngendikane sang resi. ""Kowe ogak usah wedi! Mengko kowe sinau dhisik gen isa ngadhepi para raseksa durjana iku. Mantebna atimu nek kowe isa! Niyatna kanggo nulung para petapa kanthi iklas. "" Resi Wiswamitra nyoba mantebna atine Rama. Sadurunge ngadhepi para raseksa, Rama lan Laksmana diwulang ngelmu kanuragan dening sang resi. Saliyane iku uga diwarahi kepiye carane gen luwih prigel manah. Ancene bocah-bocah pinilih, apa wae sing diwulangna cepet nyanthele, apa meneh Rama. Para petapa dha njumbul lan mblayu ketheteran saka adohan."
5,"Jebule, ana raseksi ngorak-arik apa wae sing ana neng alas. Tapane para resi diulik-ulik, watu- watu gedhe nggo uncal-uncalan. Ngguyune raseksi bekakan ngantek mblebegi kupinge sapa wae sing krungu. ""Ha. ha. ha. endi menungsa sing wani gelut ambek aku?! Ndang mrene, taktantang kowe! Ha. ha. ha. !!!"" Ujare raseksi. Gaman trisula sing digandhoki tangane diumbul-umbulna. Gumanmula raseksi iku nek padon mlepuk banget. Masia wedok, awake gedhe mbentot. Kukune dawa-dawa. Mripate mentheleng gedhe banget, Rambute semrawut, ilate dawa melet- melet, untune lincip-lincip, ambune badheg gak mbetahi. Resi Wiswamitra, Rama, lan Laksmana sing nyawang saka kadohan nggolek cara kanggo ngadhepi raseksi iku. ""Aja wedi, Cung! Nek kowe wedi, raseksi iku tambah wani lan tambah ngenyek kowe. Panahem kenekna gulune pas! Pengapesane ana neng gorokane. Wis kana majua!"" Rama maju dhewe marani si raseksi dene Laksmana ambek resi nyawang saka kadohan. Laksamana siyaga maju menawa kangmase kuwalahan. Raseksi ketok nesu marang Rama. Si raseksi mbengok biyanter gen Rama wedi, nanging Rama tetep maju. Raseksi tambah ngamuke. Gamane meh diuncalna menyang Rama sing ketok cilik. Kanthi cepet Rama langsung manah trisula ngantek ajur. Raseksi saya muring-muring. Mripate ngetokna geni, alise mengkeret, cangkem mangap kaya ameh ngemplok Rama. Kaya sing dingendikakna gurune, Rama menthang gandhewa ngincer gulune raseksi. ""Jlep. !"" Panahe Rama langsung ngepas kenek gorokane raseksi. Raseksi meh mbengok nanging gak isa. ""Gedebug!"" Raseksi tiba ngglethak lan ora wetara suwe mati. Para petapa seneng banget lan maturnuwun marang Rama. Dina sesuke raseksa sing ngganggu para petapa malah saya akeh. Raseksa-raseksa maeng dipimpin Marica anake raseksi sing mati wingi. Rama lan Laksmana ngadhepi para raseksa kanthi manteb. Sidane Marica sakancane kalah lan mblayu ambyar. Saiki para petapa wis ayem merga gak ana raseksa-raseksa sing wani ngulik-ulik meneh tapane. Para petapa maturnuwun banget ambek Rama lan Laksmana sing nulung kanthi iklas."
6,"Merga dirasa wis aman, Sang Resi Wiswamitra ngutus bocah loro mangkat menyang Nagara Mantili. Neng Mantili lagek dianakna sayembara. Resi ngutus gen Rama lan adhike melok sayembara. Rama lan Laksmana pamit sang guru. Gak lali kalorone ngaturake panuwun marang sang resi merga wis diwulang ngelmu rena-rena. Ana sayembara apa, leh neng Nagara Mantili? Genea kok Sang Resi Wiswamitra ngutus bocah loro maeng melok? Jal wacanen critane meneh gen kowe eroh sapa sing kasil menangna sayembara iku! acarita Rama Laksmana sida nekani sayembara. Ratu Mantili sing asmane Prabu Janaka ngawontenake sayembara kanggo putrine sing wis diwasa. Sapa wonge sing isa menthang gandhewa rudra bakal kagarwa ambek putri ratu kang asma Dewi Sinta. Gandhewa rudra iku pusakane kraton Mantili. Wujude busur panah sing gedhe banget. Ngantek seprene ugung ana ratu lan pangeran sing isa menthang gandhewa rudra. Rama wis manteb tekade kanggo maju melok sayembara. Sadurunge leh, Laksmana wis maju puloh ogak isa menthang merga kabotan. Pas wayah Rama ngangkat gandhewa, kaya-kaya gandhewa gedhe dadi entheng biyanget. Wong-wong padha eram. Apameneh pas wayah Rama menthang gandhewa. Gandhewa rudra ajur sanalika. Wong-wong padha mlongo semono uga Prabu Janaka. Kabeh wong ngeploki Rama sing kasil menangna sayembara. Prabu Janaka maju banjur mundhut priksa sapa sejatine Rama. Kanthi swara banter lan manteb Prabu Janaka ngendika. ""Ya iki, bakal mantuku. Rama putrane Ratu Dasarata saka Ngayodya sing bisa menthang gandhewa rudra. Rama bakal nggarwa putriku Dewi Sinta. "" Prabu Janaka seneng banget. Semana uga Sinta. Saka kadohan Sinta wis mendhem rasa marang Rama sing ancene dedege gagah, mbentot, mbarek. Apa meneh Rama putrane ratu sing misuwur. Upacara mantenan dianakna neng Mantili. Ratu Dasarata rumangsa seneng banget nalika pikantuk kabar apik saka utusane Prabu Janaka. Ratu Dasarata dhawuh supaya nyepakna pista kanggo nampa putra lan mantune neng acara ngundang mantu."
7,"Warga Ngayodya sing krungu kabar ngono uga krasa seneng banget. Kabeh warga masang umbul-umbul kanggo nampa nganten loro. Sawise sah dadi nganten, Rama lan Sinta diarak menyang Ngayodya. Neng dalan-dalan warga padha surak-surak kepengin weruh Dewi Sinta. Para warga dha rerasan nek Rama lan Dewi Sinta ancen patut. Rama mbarek dene Sinta ayu. Ratu Dasarata, prameswari, lan putra ratu liyane nampa tekane penganten. Dewi Sinta seneng banget merga ditampa apik dening maratuwa lan para sedulure Rama. Cinarita Dasarata wis sepuh banget. Sang prabu kagungan pengangen-angen ameh misuda Rama dadi ratu. Genea kok Ratu Dasarata kagungan pangangen- angen mengkono? Mergane sang prabu wis wayahe lengser keprabon. Rama diwisuda supaya nggenteni Ratu Dasarata nata nagara. Rama dipilih marahi dhekne putra mbarep lan dirasa paling trep nggenteni nata nagara. Sang prabu paring dhawuh supaya dianakna pista kanggo misuda Rama. Ngepasi dina iku, Dewi Kaikeyi dielingna embane. Ndhek biyen sang dewi tau dijanjeni ratu supaya ngaturna panyuwunan werna loro. Nalika iseh enom, sang dewi nulungi Ratu Dasarata sing kelaran pas wayah perang. Ratu Dasarata ditulung lan dirumat ngantek seger kuwarasan. Banjur sang prabu nggarwa Dewi Kaikeyi. Kanggo piwalese, Ratu Dasarata nyembadani rong panjalukan sing isa disuwun Kaikeyi. Nanging sang dewi ugung ngandakna apa panyuwune ngantek saiki. Emban matur gen Dewi Kaikeyi nyuwun marang ratu supaya Barata sing nggenteni dadi ratu, ogak malah Rama sing dudu putrane Dewi Kaikeyi. Panyuwunan kapindho, supaya Rama ditundhung lan dibuwang neng alas ngantek 14 taun suwene. Mireng ngono Dewi Kaikeyi njumbul banjur ngamuk embane. ""Aku ogak nggraita babar blas. Kok kowe tegel men mbujuk aku ngaturna panyuwunan sing bodho lan nistha banget, leh?! Asanem aku iki sapa, thek mbokajani ngono?"" Dewi Kaikeyi nyentak embane. ""Nyuwun pangapunten leh, Ndara Ayu. Kula namung ngaturaken lan ngemutaken lelabetanipun Ndara Ayu kala rumiyin."
8,"Menapa kok boten putranipun Ndara nenggih Raden Barata ingkang kajumenengaken nata? Awit Ndara ingkang sampun nulung gesangipun sang prabu rikala semanten. "" Emban maeng ndhungkruk-ndhungkruk ngajani sang dewi. Sakala sang Dewi mendel menggalih. Penggalihe ditata lan diwolak-walik. Nek dipikir ancene mboheman banget. Dewi Kaikeyi sing maeng ogak nggagas blas duwe pangangen ala marang Rama, saiki penggalihe malah dikebaki rasa drengki lan srehi. Piyambake wis manteb ameh matur marang sang prabu. Rikala semana sang prabu lagek lenggah dhewekan neng jero kraton. Wong-wong padha keron nyepakna upacara wisudane Raden Rama. Ujug-ujug Dewi Kaikeyi nangis sesenggrukan neng ngarepe sang prabu. Ratu njumbul priksa garwane nangis. ""Lhoh Dhiajeng Kaikeyi, genea kowe sesenggrukan kaya ngono? Kabeh wong saiki padha suka gumbira merga putranem Rama meh diwisuda. Dhelengen kae neng jaba katon rame banget. Coba matura apa sing marai Dhiajeng nangis?"" ""Kula nyuwun pangapunten ingkang kathah, Kakang. Kula namung kemutan rikala paduka nandang tatu sabibaripun perang. Kula ngrumat paduka ngantos kula dipunpundhut garwa lan dipunboyong dhatengng Ngayodya. "" Dewi Kaikeyi cariyos lelampahanipun sang prabu dhek mben sinambi nangis. ""Iya Dhiajeng, lelakon ogak ngarah taklalekna. maturnuwun banget. Merga pitulunganem, ngantek saiki aku kuwat nata nagara. Banjur apa sing dadi penggalihem?"" ""Kala rumiyin kula dipunparengaken paduka ngaturaken panyuwunan kalih werni. Menapa Paduka taksih kemutan?"" ""Aku gak lali, Dhiajeng. "" ""Samenika kula badhe ngaturaken panyuwunan kalih punika dhateng paduka. "" ""Ayo matura, Dhiajeng. Bakal taksembadani panyuwunem iku. Aja malah nangis ngene. Apa sing dadi panyuwunem? Ogak usah wedi leh, marang Kakang. "" Dewi Kaikeyi mbungkuk banjur matur apa sing dadi panyuwune. ""Panyuwun kula ingkang sepisan nenggih supados Barata ingkang dipunwisuda dados ratu, boten Rama. Dene panyuwun kula ingkang kaping kalih supados Rama dipuntundhung saking kraton lan dipunbucal teng alas ngantos kawanwelas taun. "" ""Gleg. "" Prabu Dasarata njumbul mireng panyuwune garwane."
9,"Sakala sang prabu mendel klakep ogak bisa mangsuli Dewi Kaikeyi. Sang prabu ogak menggalih babar blas bab panyuwune Dewi Kaikeyi. Sang Prabu kaget lan bingung. Dina iki Rama ameh diwisuda puloh sang prabu wis kadhung janji bakal ngabulna panyuwune Dewi Kaikeyi. Sang prabu banget nandang sungkawa menggalih bab iku. Prabu Dasarata paring dhawuh Rama ngadhep. Rama wis nganggo ageman keprabon. Pas wayah Rama ngadhep, sang prabu ketingal sedheh banget. Ratu kepeksa cariyos marang Rama apa sing dadi panyuwune ibune ya Dewi Kaikeyi. Rama ogak rumangsa gela. Dhekne malah iklas nuruti panyuwune ibune. Dhekne siyap batal diwisuda lan ditundhung menyang alas. Iki dilakoni Rama minangka wujud sembah bektine marang wong tuwa. Rama kandha marang Sinta perkara iku. Sinta malah meksa kepengin ndherek sang garwa. Laksmana adhik sing paling raket ya ogak kari. Laksmana ya meksa ngancani Rama lan Sinta neng alas. Sidane acara wisuda dibatalna. Ageman keprabon diselehna Rama lan Sinta. Kalorone salin nganggo klambi biyasa kayadene klambine wong ngumbara, semono uga Laksamana. Sepira sedhehe sang prabu merga ditinggal putra lan mantune. Dewi Kosalya ibune Rama meksa kepengin tumut. Tapeka Rama matur supaya ibune njaga lan ngrumat sang prabu wae. Para warga melok nandang duhkita. Kabeh padha gak nyana genea kok Dewi Kaikeyi tegel banget marang Rama. Wektu iku Barata lan Satrugna ogak ana neng kraton, dadi kalorone ogak eroh kedadeyane. Rama, Sinta, lan Laksmana pamit marang Prabu Dasarata lan ibu-ibune. Katelune ogak gelem digawani apa-apa saka kraton. Rama, Sinta, lan Laksmana kudu bisa urip neng alas kayadene para petapa tanpa pitulungan saka Ngayodya. Sing digawa Rama lan Laksmana mok sandhangan sing dienggo lan gaman thok. Semono uga Sinta mok nggawa klambi thok kayadene garwane. Sinta janji bakal setya ngancani Rama neng endi wae. Susah seneng bakal dilakoni bebarengan wujud tresna lan sih minangka garwane."
