,text_jw
0,"Omahe kang Marto. Somat, anake kang Marto lagi wae bali, dheweke mbonceng Mas Bambang lan didhunke ngarep omah. Saka njero keprungu suara megaprone Mas Bambang. Diterke sapa Le? Mas Bambang ki jan apikan tenan ya, karo sapa-sapa isa akrab. Karo cah mejid ya srawung, karo copet ya srawung. Huss! Bu, nek omong ki ra waton! Waton apa? Cen nyatane kaya ngono kok. Mas Bambang ki cen apikan, njur anakmu ki ya copet tenan. Alah! Mung pisan wae kok njur dicap. Aku nyopet mung pisan mbok. Gek sasi pasa wingi kae. Kuwi sing melu ngicipi dhuite ya sapa? Simbok barang to? Nek ra reka-reka tak golekke tangeh isa melu mangan iwak pitik kaya tangga-tanggane, Mbok. Le! Isa mingkem ora? Rembugan bab nyopet yo ndadak mbengok-mbengok, alon sithik isa ra? Krungu kiwa tengen rak ya ra kepenak! Wis kana lek adus. Njur ning ngomah wae, rasah lunga meneh. Bocah kok ra isa ning ngomah sak jam wae. Minggatt terus. Sak sirku to Mbok! Awak-awakku dhewe, sikil-sikilku dhewe, nyawa-nyawaku dhewe. Mat! Cangkemmu ditata! Omong karo mbokne kaya omong karo gali pasar! (Mlebu ing kamar, njawab seka njero kamar) Kula ra ngomong ro gali pasar pak. Ning karo Bojone Gali pasar! (Bu Marto mlebu perangan njero omah, Pak Marto meneng. ) (nyeluk bojone) Nah! Nah!. , (Ora ana sing njawab. Kang. ) Nah! Bajigur!! Kupingmu kesumpelan aspal po piye? (seka njero) ngapa ta? Aku ki krungu. Ning gek mbenakke panci ning kompor. Ngapa ta? Tuju enamku mau ning ngendi? (Teka ning ruang tamu karo nguncalke rokok 76 ning meja) sing udud ki kowe kok aku sing takoni, goleki dhewe pa ra isa? Padhakke babu wae. Kok malah ngejak padu ta kowe ki? Bedane bojo karo babu ki, nek bojo dituroni kon meteng, nek babu ki dituroni ning aja nganti meteng."
1,"(Mbalik mlebu njero) Kaya kowe mbiyen, mbabu ning tokone Koh Liang kae rak ya ngono ta? Koh Liang nuroni kowe ning karo diombeni anggur ben ra meteng! (Teka ning ruang tamu karo nesu) Pak! Ra ngayawara lho kowe ki. Arep golek perkara meneh? Nek omong ki naganggo dipikir! Dhasar wong ra mambu sekolahan ya ngono kuwi. Sekolahmu ki apa? SR ya ra rampung wae kok. (Somat njedhul) Wis to mbok. Nek pancen mbiyen tau dituroni Koh Liang ya ngaku wae, wong bapak ya nrima kok. Nek pancen ora, ya rasah diwangsuli. Kaya ra apal. Cangkeme bapak kawit mbiyen ya ngono kuwi. Wis, aku tak metu dhisik. Rasah mabuk-mabukan meneh!' (sambi bablas metu omah) 'Mabuk ya ra papa angger ora matengi uwong! Ning Cakruk prapatan njeron kampung. Bocah-bocah nom padha ngumpul. Ing kono ana Mas bambang. Ana bocah sing dolanan gitar, liyane dha nyanyi ndhangdhutan. Ana sing sambi njoget. Sakwise sak lagu rampung, Pak Madi, ketua Takmir Mejid liwat. Kok sajak kesesa, mau ke mana pak Madi? Weh. Dik Bambang, ini mau ke ndalemnya Pak Kaji. Oo. lha santai-santai saja saged to pak? Kok kayaknya kesesa, kemrungsung. Menapa wonten yang darurat pak? Ah. Enggak dik Bambang. Namung urusan kecil. Soal rencana renovasi itu lho. Renovasi? Renovasi. Masjid. Kas masjid sudah dihitung. Cuma ada telu setengah juta. Padahal rencana kebutuhannya sekitar 9 jutaan dik Mbang. Lho, saya dengar dari Lik Karyo itu namung betah enam sampe tujuh jutaan to pak? Niku nek namung ganti eternit, ganti kaca, ngecet sama beli karpet plus gawe taman di halaman masjid itu thok dik mbang. Lha memangnya mau ndandani apanya lagi? Sound. Sound system kita itu kan suarane sudah njeber. Perlu tumbas speaker baru, mic baru sak kabelnya dik. Nah, ngiras pantes, kalo ada pengajian Akbar ngundang AA' Gym kan nggak mgisin-ngisinke gitu lho. Wah."
2,"kalo ngundang AA' Gym ya mestinya soundnya nyewa to pak. Yang kelas konser Peter pan gitu. Lho. Ha ini!, pemikiran muda panjenenga ini yang saya kurang trep. Kalo tiap ada acara gedhen kita harus nyewa, itu sama saja kita beli rokok ngecer. Tibane luwih larang. Nggih, ta? Sekarang dihitung mawon. Beli rokok itu nek bungkusan 6. 000. lha nek ngecer? 600 sakler. Pingke 12, ketemunya 7. 200 to? Lebih mahal dik Mbang. Mendingan tumbas bungkusan. Beli sound system gedhe sekalian. Nanti kalo ada pengajian, mauludan, syawalan lan sapanunggalane, kita nggak perlu ngecer sound system lagi. Ngih ta? Nggih napa nggih? Pak Madi, Pak Madi. Kalo Masjid itu nggak dipegang panjenengan. Mesthi kampong kita nggak maju. Mangkih riyen. mangkeih riyen. Jangan main puji-pujian dik, nanti saya njur gedhe ndhase. Ah. sudah saya nanti malah ra sida ke tempat Pak Kaji nek ngobrol sama dik Bambang terus. Dik Bambang ini cen bikin krasan kalo ngobrol. (Pak MAdi neruske laku. Nanging lagi 5 langkah mbalik meneh) Oh iya, dik Mbang. Nanti kalo tiba urusan sambatan ndandani mesjid itu, dik Bambang ngewangi lho. O, ya ikut pak. Masa nggak ikut. Saya masih pengen urip di kampong pak, belum pengen urip di hutan. Kalo di Hutan apa-apa sakgeleme dhewe, kalo di kampong ya harus ikut gotong royong, gitu to pak. Sekalian, kanca-kanca di ajak. Kalo Dik Bambang absen, Genknya Sukirno ini apa ya dha gelem gotong royong di masjid. Geleme ya kalo sambatan ndandani rumahnya pak Yanto. Soale kan ada Retno sing nggawekke wedang. (Marang Kirno) Jangan khawatir Kir, nanti Retno mesthi tak lebokke tim masak memasak untuk yang gotong royong di masjid. Pak Madi mbotensah gawe-gawe to pak! Mung nglirik pisan jaman mbiyen kok ya sih dirembug wae. Sudah! Sampeyan ngurusi itu sound system sama mic nya."
3,"Mboten usah ngurus saya dan Retno, Itu pun ada yang mikir, sudah ada yang ngurus. Sing ngurus kowe karo Retno ya Polisi. Wong karepmu ming arep nggadho Retno wae. Wis! Cedhak-cedhak kowe ming marahi aku melu dosa. Risi kupingku!. Mangga Dik Bambang. Ya. Mangga-mangga Pak. (Bambang isih mesem nganti Pak MAdi ora Katon maneh) Ra papa kok, aneh je kowe ki. Mas, mikir apa to? Waduh. Cilaka iki. Aja-aja Mas Bambang melu-melu mikir Retno. Wuaa. modar tenan aku. Kalah 3 kosong. 3 kosong piye Kir? Kirno ; Aku disenggelke karo mas Bambang ya kalah 3 kosong aku, Kalah bagus, kalah sugih, kalah kondang. Wah. 2-1 Kir, wong nek kondange kondang kowe kok. Sapa wong terminal sing ra ngerti Kirno. Tetap kalah aku Mas, aku kelingan banget pas dolan ning Jogja. Ning prapatan Janti ki ana copet ngejak omongan ki jebul kenal njenengan kok Mas. Copet nJanti kenal aku? Sapa jenenge Kir OO trondhol!. Tak pangan sisan lho kowe! Ning apa kowe ki ya tahu nyopet ning jogja tenan po Mat? Kuwi mung cangkemane Kirno Kuwi Mas. Ngamen Mas, tekan jogja tekan Solo ki tak akoni, ning ngamen, ora nyopet!. Dalemme Pak Dukuh. Pak Madi lan Pak Kaji mertamu. Ya,. Ini sudah saya hitung. Kalo nggak salah ada 6 juta seratus limapuluh ribu. Mangga Panjenengan hitung lagi. (karo nyorogke amplop lan Map ning meja) (Nampa amplop ning ora dibuka). Nah,. Saking panggenan kula yang tanggungjawab koordinasi Iuran warga sampun terkumpul sekitar dua juta tujuh ratusan. Sekedhap. (Pak Dukuh mlebu kamar njikukke amplop iuran warga. Pak Madi lan Pak Kaji bisik-bisik). (Pak Dukuh keluar dengan amplop dan buku catatan). Dua juta tujuh ratus sembilanpuluh lima. Wehh. kok kadingaren warga rada semugih. padahal baru saja iuran idul qurban, trus juga ada program dompet bencana alam, kok bisa keluar segitu nggih pak? Yah."
4,"barangkali hati mereka terbuka untuk keperluan peningkatan sarana ibadah Dik Madi. Ya,. itu namanya, mereka sudah melek religi. Harus kita ikuti dengan alhamdulillah yang nyata. Dalam bentuk penggunaan dana ini sebagai mana yang sudah direncanakan. Berarti tinggal kurang sekitar duaratusan ribu to ini Pak Dukuh, Pak Kaji? oh, ya, Panjenenganipun Pak Lurah juga sudah kasih kabar. Tadi pagi beliau SMS saya, bantuan dari kabupaten sampun ACC, empat ratus ribu rupiah, bersih. Tanpa pajak. Wehh. weh. weh. gangsar temen to iki. Berarti malah turah ini pak kaji, sekitar dua ratus ribuan ini, lumayan. (Bu DUkuh mak jedhul nggawa wedang) Turahane ya buat kas masjid lagi. Moso' arep dientekke jling to Mas Madi, Nanti Malah kegodha Koropsi lho,, hati-hati lho. Waalahh. Mbak Yu ki. Masa saya koropsi, saya itu ketua takmir je, koropsi duit mejid itu luwih sangar dosane lho, Nggih to Pak Kaji? (Sambil tertawa) hahahha. Ya namanya korupsi, mau duit mejid, duit iuran lisrik, duit kantor, bahkan duit blanjan rumah tangga, Yo tetep nggak boleh dik. Wani-wani Korupsi, panjenengan bisa kurus tiba-tiba lho Mas. (kabeh ngguyu ngakak. ) Iya. tapi kadingaren lho ini warga rada gampang iuran. Sing paling kadingaren itu Pak Marto. Pak Marto dos pundi mbak yu? Pak Marto itu nggak mau nyumbang waktu bocah-bocah karang taruna muter narik iuran itu, ning ngerti-ngerti datang ke sini tadi malem. Ngasih amplopan buat sumbangan iuran rehab masjid. Lima ratus ribu sendiri lho. Subhanallah. Baik sekali Ning,. Sebentar Pak. ini kok malah nggak beres kalo menurut saya. Nggak beres gimana dik? Jangan su'udzon lho dik. Bukan Su'udzon pak, ini waspada namanya. Marto itu, kita semua tahu, bekas Bandar togel, bekas wong mabukan. Pokoke wong sing raenak pangan itu to. itu rak mbiyen, jenenge wae bekas, nyatane mau nyumbang. Lho sebentar. memang sudah bekas, mantan. Ex."
5,"Tapi kan kita tilik dulu, dia berhenti mbandar, berhenti mabuk itu kenapa? Lha kenapa coba? Lho! Jelas pak! Marto berhenti jadi Bandar karena polisi menindak tegas. Dia berhenti sebelum digrebek karena takut keciduk. Bukan niat yang tulus untuk tobat to? (Kabeh mak cep. AMndheg gunem lan nunggu katrangan terusane). Njur, dia itu berhenti mabuk juga karena kahanan ekonominya morat-marit. Nek saya, itukan urusan pribadi dia. Yang jelas dia bersedia nyumbang rehab mesjid, duite nyoto, asli. Sudah. Asal-usul duit itu bisa jadi masalah. Lihat saja para koruptor. Semua yang menikmati kucuran duitnya yang hasil korupsi itu pasti ikut diciduk. Minimal diinterogasi. Interogasi itu repot lho pak. Apalagi itu berarti yang menikmati duit itu mesjid. Berarti Pak Kaji dan saya sebagai ketua takmir harus kena interogasi. Wah. ngisin-ngisini desa kita pak. Tenan ini. Itu kan kalo duit itu benar-benar duit bermasalah, sapa tahu dia itu nabung. Iya. sapa ngerti Dik Madi. (Saya adreng) Justru karena ada kata siapa tahu itu lho Pak, mbak yu. Oleh karena siapa tahu itu kita wajib waspada. (Kabeh meneng padha mikir) Itu jelas nggak logis. Mereka itu ekonominya mosak-masik. Si Somat anake itu pengangur. Ngamen ya mung dinggo mendem duite. Kabarnya gelem nyopet segala je Somat itu. Lha kok sampe bisa ngasih 500 ewu ke masjid. Ra logis. itu bener-bener nggak logis Pak. Ya. Ya. memang. Kekhawatiran Dik Madi ada benarnya juga. Tapi jangan lupa. Asas praduga tak bersalah. lebih baik kita cari tahu dulu. Apa kekhawatiran kita itu benar atau tidak. Prapatan nggone cah nom padha nongrong. Mas bambang, Kirno lan kanca-kanca liyane sih padha ndangdhutan. Lagune termiskin di DUnia. SOmat teka, katon lakune rada lemes lan aras-arasen. (Lungguh, njikuk rokok, nyumet njur mbuang bungkuse sing sisih separo ning tengahe kanca-kancane sing dho lungguh mubeng."
6,") (Njikuk bungkus rokok, lan gage nlumut siji nalika ngerti yen sih ana isine) Wehh. Njanur gunung. Iki sugih apa semugih Mat. Weehh. Ayo cah. dha diudud bareng-bareng, rasah nganggo isin lho. Mangga-mangga. Nek arep ditakoke ki aja sugih po ra sugih. Halal, Pa haram. Duit panas pa adem Kir. (Dumadakan ngadeg mandeng Mas Bambang. Matane mblalak) O. Ngono to Mas?! Dadi pikiranmu ki dha kaya ngono to karo aku. Waduh. Guyon Mat, Guyon. Pancen Bapakku ki bekas bakul togel, Aku ki yo mung tukang ngamen. Ra isa sugih. Ra isa nduwe duwit. Mad! Kowe ki ngapa ta? Ngono wae kok muntab. Nek pancen kowe tukang ngamen, kulina saba terminal, kudune rak kulina karo guyon sing rada kasar. Padahal iki mau ya sih lumrah. Ora kasar. Nduwe masalah-ya nduwe masalah, kuwi wis umume wong urip Mat. Rasah sepaneng. (Somad lungguh maneh. Ngunjal ambegan jero. Katon yen atine sih rada ngganjel). Tur biasane kowe ki ra ngono kuwi je Mat. Ana apa to? Apa nek wong elek ki sak lawase kudu elek? Sing reged kuwi ra kena kepengen resik? Kowe ki ngomong apa to Mad? (Nunjuk ing kadohan ) Kae, takona wong kae (Somat Lunga. SAka arah liya Pak MAdi katon gleyah-gleyah nyerak) Wahh. Pak Madi, keliatannya sibuk sanget ini. Dari mana saja Pak? Biasa dik, Dari ndalemnya Pak Kaji, terus ke masjid untuk koordinasi sama anak-anak Remaja Masjid, itu lho, koordinasi untuk persiapan rehab. Wah. Pak Madi ki Paling mempeng nek soal ngurursi mesjid, Pak Madi ; Hayo kudu Kir. Wong ndandani rumah tetangga saja semangat. Apalagi masjid, Rumah Allah Ya ta? lha, napa enten honore napa Pak? Lhoo!, hayo jelas ana. Wah. nek cetha ana honore aku ya gelem Kir. Hayo kana lek ndaftar, mengko selak kebak. Honore ki ana, tur gedhene aja takon. Gedhe banget. Ora kena dietung."
7,"Waduh. nek angkane ra jelas ngoten niku, aja-aja mung ngapusi. Piye to kowe ki? Yo ra mungkin ngapusi. Honore kuwi pancen ra kena dietung. Ra isa dirupiahke. Kok ra kena dirupiahke, lha bentuke honor niku napa barang napa Pak? Honore ki dudu duit, dudu barang. Akherat. Sing mbayar gusti Allah. Wuuaaaa. Mawut nek ngene iki. Lho. Rak tenan ta? Aku wis mbatin. Bocah-bocah kaya kowe-kowe kuwi mesthi ra gelem. Wong dha ra butuh akherat kok. Iya ta? Dereng titiwancine sadhar Pak. Sadar kok ndadak nunggu titiwanci. Nek kesuwen selak diapeli Izro'il malah da saya mawut kowe. Wis. aku tak mulih dhisik, Dik Bambang, besok kalau sudah fix hari H kerja bakti masjid, Munyuk-munyuk ini diajak lho. beres Pak. Nanti saya yang njamin, mereka pasti ikut. Honore saya cepakaken pribadi mawon. Pak Madi ; Ya nanti gampanglah itu, sing jelas ada dana kalo Cuma buat kebul-kebulan. Lhaaaa. Ngono kuwi, jenenge friend Pak Madi. Pak Madi mesem njur mbablas neruske lakune. Rumah Pak Marto. Pak Marto lan Somat jagingan ing ruang tamu. Wong loro padha meneng. Sajake padha nguripi lelamunane dhewe-dhewe. Wong loro padha ngrokok. Sedhela-sedhela usreg mbenakke nggone lungguh. Bu Marto banjur mlebu nggawa ceret lan gelas, banjur lungguh ning kursi jejere pak Marto. Sawetara wong telu padha le meneng. Mbok Ya uwis to Pak. Mung diunekke ngono wae ya aja mutung. Pokoke niate apik. Wong ngomong elek yo ben. Kuwi urusane Gusti. Ning ya lara tenan atiku Nah. Tak akoni, wingi-wingi aku ki nggone dosa. Mbareng saiki aku ngrumangsani wis wayahe sadhar, njajal ajar shalat ning mejid, kok malah dunekke ngregeti mejid. Jan-jane sapa to pak, sing ngomong ngono ki? dakpalane kene. Bapakmu ki gek arep sadhar kok malah kowe arep main pala. Mbok ya wis. Idhep-idhep kuwi ki cobane wong arep tumindak apik. Aja tokregeti meneh."
8,"Ngibadah kuwi sing nampa jane sapa ta? Gusti Allah, apa ketua Takmir? Apa Ustad? Apa Pak Kaji? Apa malah Pak Dukuh? (ora ana sing njawab) Duit sing tak nggo nyumbang mejid kae ya ra ditampa karo Pak Madi. Di balekke. Alasane ya ra cetha. Apa dikira duit panas pa? Nek sing kuwi malahane to pak. Kekna aku. Isa tak nggo uang muka kredit pit montor, njur aku isa ngojek. Leren le ngamen. Piye mbok? Jane ki ya nek ra ditampa ya rapapa. Ning mung karepku ki males budi. Mbiyen mbahmu seda kae, aku di sumbang duit mejid 400. 000. Aku rumangsa nduwe utang. Lha saiki arep tak saur. Mumpung mejide gek butuh duit. Kok malah diarani ngregeti mejid nganggo duit panas. Aku jan sih kelingan banget Pak Madi rene mbalekke amplop 500. 000 karo ngomong (niroke pak Madi) Napa njenengan dereng nate miring ta yu, enten mejid ambruk merga le mbangun nganggo duit panas. Nek kedadean kados ngoten rak nggih eman-eman. Mejid gek entes diragadi malah ambruk. Luwih becik duite kurang 500. 000, le mbangun ra sempurna ning ra ambruk. Kok sajake ki le yakin nek duite Bapakmu ki duit togel. Mangka aku wis 5 sasi leren dodol togel. Mula awake dhewe dadi kere dadakan kaya ngene iki. Pit montormu kae tak dol merga aku eling tenan le tuku nganggo duit dodolan togel. Ah. Yo wis pak, jarke wae. Duite dicelengi, po nggo tuku wedhus, suk di kurbanke. Nek mung arep ngibadah ki jare akeh dalane. (Mas Bambang teka) Kulanuwun. waduh. gek ana rapat iki, nglumpuk. Mboten kok Mas, mangga Mas. Mesthi kangen kopimu iki Nah, gawekna Nah. Aku sisan mbok, aja legi-legi. Mbok kowe sing nggawe, wong tamune ki ya kancamu kok."
9,"(sambi mlaku nyang pawon) Nek Mas Bambang ki seneng kopi gaweanku ya mesthine aku tandang nggawe kopi, wong sing di senengi ki gaweanmu kok. Aku barang ki ya termasuk penggemar kopi gaweanmu je Mbok. Kabeh padah ngguyu. Wah , mau ki kahanane do prengat-prengut, saiki ana Mas Bambang kok dadi ceria to? Waa. gesang namung sepindah Lek, ampun didamel susah. Niki wau saking pundi Mas Bambang? Saking nggriya pak, trus mampir sekretariat Remaja Masjid sekedhap. Ning remaja Masjid ngapa Mas? (nyang Pak Marto) Kula sampun miring masalah sumbangan njenengan 500. 000 niku Pak. Kula wau, nyobi tanglet kalian Pak Madi sebab musababe sumbangan rehab Masjid saking Pak Marto menika kok dipun tolak. Kala wau Pak Kaji nggih pas wonten mrika pak. (terdiam beberapa saat, lalu bertanya) Sanjange dospundi Mas? (agak kikuk) Nggih ngoten niku pak. Pak Madi ngendika menawi, Piyambakipun kuatir menawi artanipun Pak Marto sanes arto ingkang barokah. (Pak Marto meneng pisan meneh) Bu Marto mlebu nggawa wedang. Melu jagonga tanpa komentar. Nek Pak Kaji kae, piye to Mas? Apa ya melu-melu maido duite Bapak? Apa malah Pak Madi ki mung jurubicarane Pak Kaji? Nek kuwi aku ra ngerti Mat. Mung nek ndelok carane Pak Kaji ngomong, Pak Kaji kuwi ketoke ora pati kuatir bab duit panas pa adem kuwi, ning dheweke ya ngregani kekuatirane pak Madi, soale ya dhasar urusan duit mejid ki cen urusane Pak Madi. Tugase Pak Kaji mung ndongani. Marto mak gregah. Kaya-kaya sadhar dumadakan njur mesem digawe-gawe, sajak kepengen nglalekake perkarane. Marto ; Wis. wis. sampun Mas. Mboten usah ngurus barang-barang ra cetha. Malah marai lara ati. (Marto ngrogoh sak). Wah. sih nde duit limangewu ki, Nah, tuku gorengan nggone Yu Suti Nah,. Mumpung ana Mas Bambang, Pesta gorengan. Nek niat ajeng Pesta nggih mboten cukup Pak. Tak tambahi."
