,text_jw
0,"omah, dalan, latar, kali, lan setting adegan liyane ana ing naskah. Para pemain padha lungguh ana ing kiwa tengene panggung. Sak wayah-wayah nek kedapuk main kari menyat munggah panggung lan bisa clekopan. Gampang ta Ca. AAA. AA. iiihh. !!! Les! Lestari! Les! Cah! Aku rangira nek kowe tega tenan karo aku! Tumindakmu kaya kewan! Les! Sing nglakoni ki dudu aku Les! Nyatane! Nyatane anane mung kowe karo aku Cah! Les! Sak mbajing-mbajingku ya Les. Aku ki durung tau jenenge ngruda peksa wong wadon! Pokokmen aku ra trima! Aku ratrima Cah! Aku ora trima! Les! Lestari! Lestari. ! When I Saw Her Standing There saka njero omahe Lik Kawit. Jumiran Alap-alap lari-lari pagi nganggo walkman, kaos sporet kuning lan sepatonan. Yu Samsinah mlaku ngetung duit ewon owol-owolan. Siti lan Nurdin pacaran oyak-oyakan. Cempluk gawa jligen tuku lenga. Kajine Amat Sugeh sing lebar ceramah subuh lan Nursoleh sing lagi arep mubeng proposal mlaku sliringan, rembugan nang dalan sedilit banjur mlaku bareng. Cahyadi mlayu gawa ciduk isi sikat gigi lan odol merga kebelet ngising. Lestari mangkat kuliah nggawa tas slemprang. Teknik muncul lan lakune dikoreografi ya Ca. ben katon regeng. ) Njogete Nanang digarap sing wangun lho Ca, ra ming waton njatil, jogetan sing gagah, kemaki, nggaya lan kaya pawongan bagus dewe sak Indonesia Raya. ) Widodariku. sawangen aku gilo. Rupaku bagus sinatriya, awakku gagah, gedhe duwur! Widodariku. dak enteni sliramu nganti mubenge jagad mandeg. Nganti pitik jago wis rapada kluruk maneh. Tresnaku marang sliramu ngluwihi tresnane Rama marang Sinta. Widodariku. dak rewangi uripku kabur kanginan kaya ngene ki merga nandang wuyung marang Sliramu. Duh. widodariku tresna iku lair saka ati sing kudu digemateni. Wah. jyan! Esuk-esuk wis ngomyang! Ganggu wong turu! Heh Nang! Widodarimu ki sapa?! Lho! Lho! Lho!!! Widodariku mudhun. Cah Ayu. Widodariku! E. eeee. eits."
1,"Heh! Widodari Ndasmu! Ndasmu Barang! Kowe mesti Rahwana! Kowe Rahwana Sing nyulik Widodariku! titenana kowe ya. Titenana! tak jumukke watu gede tak tableg Ndasmu! Walah Nang. Nanang. Nom-noman bagus-bagus je edan! Kok isa ki piye ta ya. ? hhmm. wis, lakonana uripmu Nang. Nang. (ngunjal ambegan) E. alah. idep-idep nggo tontonan esuk-esuk. Oalah urip. urip! Uriping manungsa jaman saiki kuwi wis ora saderma mampir ngombe maneh, kaya-kaya urip kuwi dawa. banget. Samsaya neh sing uripe mlarat tur rekasa. Walah. mesti krasa dowu tur suwi. Pa meneh nek ditinggal bojone, ha mung ketap-ketip, nang kasur klisikan mbayangke sing ora-ora. jyaan. (Ngunjal Ambegan rada dawa. ) duwe duit apa duwe duit akeh. awan ro bengi, apik ro elek, lanang ro wedok. Nek Banci Lik? Sapa kuwi mau sing takon? Kulo Lik, Nurdin! Yoh. Sik Din. kuwi ya ana loro! Sing penak ro sing rapenak! (Lik Kawit mrenges) Hai ki Din, iki pilihane wong urip ki yo ming ana loro iki Milih penak apa penak buangeti! Ho oh ta? Nggih Lik. Ha. ya. Matamu!! Ha kok le nggunyik! Karepe mak penculut langsung nang nduwur metenteng karo tudang-tuding kaya Raja! Kabeh ki rak ya nganggo lelaku ta cah! Lelaku kuwi werna-werna ana sing colong jupuk nggone liyan kayata maling, copet, rampok, kecu lan sapinunggalane seka nduwur nganti mengisor. Nek rakuwi ya ngingu Tuyul, ndilati nduwurane apa ngapusi kana ngapusi kene. Nuwun sewu Lik, ha nek nyenyuwun kalian Gusti Lik? Kuwi ki rak mung sranane ta Le. Praktekke ki werna-werna! Kabeh ki ya wis nyenyuwun ben uripe kepenak, tur piye-piye rak ya tetep nganggo usaha ta. ha nek mung nyenyuwun tok, ya sak modare! nek yang-yangan nganggo duit ra? Ngangge Lik. ! (Nyaut) Kulo Nurdin pribadi! Mboten Sarujuk Lik! Ha nek niku tergantung Lik. Nek yang-yangan kaleh Siti anak'e mbokde Samsinah, nggih mboten ngagem duit."
2,"Ha mung teng pinggir kali kaleh ciprat-cipratan banyu empun seneng je. Cinta e kalah ro duit! Wu. Wong do radong sujarah! Kawit jaman Adam- hawa jenenge cinta ki gratis. Diparingi Gusti Allah. Sik ta Din, Ha wong wedok kaya Siti kae saiki wis arang banget je Din! Ha ya bejamu nek entuk Siti. Ha ya iki. Iki. Hihiii. iki contone wong sing ra duwe modal! Jenenge Cah mlarat! Njijiki ta? Hiiiiihhhiii. Lik. Lik Kawit. Lik. ! Apa Pluk?! Mesti ra ndidit! Njuk ming arep utang aku ta? Ho oh ra? Kok ngerti Lik? Hajiguri! Ha ya nek mung ro rupa kere apal Pluk! Pira? Anu, Seket ewu wae Lik. Nya! Tur nek ra isa nyaur tak keloni lho! Walah. Lik Kawit ki reka-reka. Wong isa nyaur we dikeloni ya rapapa kok Lik. Ora Pluk, duite ki arep di nggo ngapa? Anu Lik, ajeng nggih mresake denok leh nggih tumbas empring cagak omah, lha pun doyong ngulon je. Walah, kesian. Nya, ta ke'i duit neh. Wah jyan. Lik Kawit ki apikan tenan je. Tur nuwun nggih Lik. Kit biyen aku ki apik'an. Teneh nek jahat jenengku Al Capone! Turnuwun nggih Lik. kulo tak sisan muleh. Hooo. oh. jyan. tur tak keloni lho. ! (rupane nggilani) Inggih Lik. Inggih. Wu. ! Nggateli! (ngunjal ambegan maneh) Piye. ? Nek ndidit ki rak isa kuasa ta? Paling ora ki isa ngereh wong sak penake dewe. Wis ta. rasah dha ngeyel. Rumuse urip jaman saiki ki mung duit. duit DUIT! Wit! tak ndisikki ya. Kere saka ndi meneh ki?! Kere matamu! Nak mung tuku kowe we isa aku Wit! Walah, gojek kok Sam. Ora, kok ndingaren kawanen Sam? Tole ki mau rewel! awake rada anget, njaluk ditunggoni. Tujune mbakyune sekolahe prei, Njuk tak kon ngganteni aku."
3,"Kowe kuwi Sam, tak kandani duwe bojo meneh we kok ngeyel. Rak ya meso ta ana sing nggolekke duwit. Gah! Wong lanang saiki ra nggetih! We. Karo aku wae po piye?! Nggetih lho aku ki! Walah! Wit. kawit! Ta akoni kowe kuwi cen nggetih Wit. Tur sayange siji Njijik'i! Kowe ki mung durung ngerti aku sak tenane kok Yu! Lha iya. kowe ki sak tenane Njijik'i! Isane mung klempas-klempus ra tau nyambut gawe. Kaya UWUH! Wooh. ! Uwuh. e. Jiguri! Heh Sam! Aku ki turunane Gajah Mada! Bu Lik ku ki R. A. Kartini. Aku ki Priyayi! Sembarangan! E. Tole ta. kok wis bagus ki arep nang ndi je le? Minggon pa? Apa arep apel Lestari? Wis duwe sangu during le? Pak! kowe ki rasah kemaki! Gayane nek nang ngarepe wong akeh kaya sugih-sugiha! Duitku nang ngisor bantal ndi? Sing njupuk liyane kowe sapa? Oalah. Kowe ki rak ra ngerti ta Le. Kene. kene. ta andani cah bagus. Ra butuh! Bola-bali duitku ilang, aku ming meneng wae. E. Malah saya ndadi! Sing golek ki angel! Aku ki nyambut gawe, ra ko kowe! Sik ta Le. sing sareh. Bapak ki seneng, kowe nyambut gawe entuk duit. Tur duitmu ki sing entuk seka ndi je le? Saka ndi piye ta ki? Ha ya saka sing menang adu jago! Lha. ! Berarti duitmu ki rak ya duwit karam ta le? Ben adil, dosane ki dibagi wong loro. Separo nggo aku separo nggo kowe. Piye? Penak ta? Apik'an to aku? Ora, kowe kuwi Pak! Muni kalal karam ki njuk isa njamin aku dadi pegae negri? nyambut gawe mapan terus entuk duit khalal pa? Wah jyan. Wah jyan piye?! Raurusan kalal karam Pak! Sing penting duitku balekke kabeh kene! Kene. ! cepet! Wa. lha anu e le. anu. wis ta utangke Cempluk je."
4,"rekane aku ki nulungi Cempluk e Le. (Lik Kawit mesem nyedaki Cahyadi) Nha. berarti Cempluk ki rak ya melu dosa ta Le. ? Wong utang duit karam. Wo. ! (Nudingi rupane Lik Kawit) Tenane sing dosa paling gede ki ya kowe kuwi Pak! (Ambegane Cahyadi mulai ra teratur) Kowe ngutangi Cempluk ki ming arep to keloni ta? Ho oh ra?! Wong tua Senengane lakang! Le. ora ngono ta Le. ngene lho karepku ki Le. Piye. ?!! Anu, aku ki rak seneng ro lakang. Apa? Ora, wah jyan piye ta ya iki? Ha iya kaya ngene iki sing marai Simbok njaluk pegatan ro kowe Pak! Wong tua ra rumangsa! Raurus! Ko kecu! Sak tenane aku ya wis ra betah urip awor kowe pak! Ra wangun dadi wong tua! Cah! Apa! Wis saiki sing minggat saka kene sapa?! aku pa kowe! Wong tua ra duwe isin! Ko kecu! Aku pa kowe! Sapa sing sing minggat he?! Aku pa Kowe! Aku pa Kowe! Aku. pa KOwe. !!!! Aku!!!! Bocah rangerti males budi! Cah raurus! Cilik di gedheke mbasan gedhe wani! Gek Minggat rasah kakean iyik! Aku wis rasudi duwe bapak kaya kowe!! Le. ! Kana gek minggat! Nya! Nya. ! Bandamu nya! Bodem. nggo mbobok tembok! Dadi a maling kana! dadia maling! Le. ! Mbok ra kaya ngono kuwi ta Le. Le. Ngapa? Kana gek minggat! Rasah kakean cangkem! Kana minggat. ! Yoh! Cah ra urus! Aku rasudi duwe anak kaya kowe! Cah Rakalap! Aku ya rasudi duwe bapak kaya kowe! Wani ro wong tua! Suk Bakale mlebu neraka sing nomer pitu! Kowe sing nomer wolu Pak. Wis gek minggat kana! Ciaat. ! Wong tua ora isa digugu."
5,"Karepe anak didadeke investasi! Cah, Kowe ki ngapa e? omong dewe kaya wong edan! Eh, kowe ta Yu? Anu, lagi mumed! Mesti bar kerah ro bapakmu meneh ta? Ho oh ta? Ra nyambut gawe pa? (Yu Sam gedek-gedek ndelengke Cahyadi) Kowe kuwi lho Cah, nom-noman kok isane mung adu jago. Nek wani mbok nyambut gawe liyane! Wo. dina minggu e nyambut gawe. Minggon Yu. Minggon. Apel! Walah, sing to apeli ki sapa? Lestari pa? Ha ya sengara gelem, kae ki cah wedok berpendidikan je mung arep entuk slangkrah! Woh. slangkrah og piye? Dasar wong radong perasaan. Aneh! Adegan iki uga dikoreografi ya Ca. , ben katon asik. Cahyadi sing ngepit distandarke ngadeg terus digenjot dadi katon kaya mlaku tenanan. ) Astofirlloh. Hajingsai. i!! Wah. waduh. duh. nuwun sewu Pak Kaji. nuwun sewu tenan. Saestu. ! nuwun sewu tenan. Nek pecicilan neh, Tak Yasinke! Waduh. ampun. pak Kaji. Ampun. jungkatan, pupuran, ngucir rambut. Lestari nyandang sederhana rok-rokan biasa, kaosan gambar doraemon, lan sepatonan ket ungu ora nganggo kaus kakik. Lestari. ayo nari. nari ana ing sajroning ati. Nari ana tengah wengiku Lestari. Duh, Cah Ayu ngertia marang sliraku, ngertia saktemene rasaku lan jejogetaning atiku. Wo! Asui! Walahh. alah. gek gek sing mak kaing kae mau Lestari pa ya? Widodariku. kae galo sawangen ana ing mega-mega akeh arerupa manungsa sing padha kedanan banda ndonya. Kabeh padha ngiler tetes-tetes. Sing bener karo sing salah wus ra katon ketara, kabeh pada jumpalikan ngurusi wetenge dewe-dewe. Nanging aku widodariku tansah setya marang sliramu, dak rewangi pasa ngebleng, turu ngarep lawang pati geni nandang prihatin sadermo hanglakoni kepengin nyanding Sliramu. Widodariku. tak enteni sliramu nganti mubenge jagad mandeg. Nganti pitik jago wis rapada kluruk maneh!! Widodariku."
6,"Sawangen ana ing mega-mega kae! Sing tok waske ki apa ta Nang?! Welhadalah! Ana wong edan anyar saka ngendi iki?! Wong edan anyar Matamu!!! Heh, Delengen mataku Wong edan anyar! Bakal mbok delok sejatining urip sing wus rusak-rusakkan! Setyo mituhu marang urip wis ora kanngo! Marai peteng ra weruh apa-apa! Ha njuk sing kanggo ki apa?! Embuh ora weruh! Eitss. Jingak i! Ndonya wis wuta nyenyet, peteng ndedet ngalam wis rakuwawa nanggung tingkah polahe manungsa. Kabeh padha edan! Para panguwasa gayane kaya dewa! Idu sakpenake dewe! Sing dak tresnani mung siji. Sing hamarahi jagadku padang njingglang. Nrenyeske atiku. (Nanang njoget maneh) Wo! Wong edan Rakalap! Omong glenyengan ra ana jluntrungane! Widodariku. Widodarimu ki endi?! Seprana-seprene kok ming widodora-widodari! He! Anoman ala! Widodariku suci aja diganggu. Nek arep pingin weruh tirunen lakuku! ayo melu aku. (Nanang ngematke langit meneh) Widadariku tumuruna nang mbumi liwat dalan sepi ! sepi ing pamrih ! sepi kuasa ! Sepi ing hawa lan sepi nepsu Bethara kala! Gayamu Nang. Nang. rupamu kaya jangan bobor! Prabu Rahwana. Bethara kala. Bethari Durga nang ndi hanggonmu ndelik bakal tak oyak tak tusuk tak tojeh-tojeh! Reneo adepana aku! aku dewa duwe duit. Raduwe banda. Duweku ati lan pikiran wening. Balekna widodariku! Tarung! Ayo tarung ing satengahing jagad! Jagad sing wis amoh! menungsa padha goroh ngogroh ogroh! Duh, Widadariku. Widadarine ki wernane apa e Nang? Ayo tirunen lakuku iki! Bakal tak gawa menyang atine Widadariku! ning ning nong nong ning ning gong ! (Ngematke Langit maneh) Widadariku. tumuruna nang nang ngarcapada liwat dalan sepi ! sepi ing pamrih ! sepi kuasa! Sepi ing hawa lan sepi nepsune Batara kala! Endi ta Nang Widadarine ki? Ula Wedhus! Ayo nek kepingin weruh tirunen lakuku! Tenane Nang?! Ayo tirunen lakuku! Sik, ta tirune. Sing njoget alon-alon Nang."
7,"Yen dak sawang ing langit biru arem kana kae, sliramu tansah ngawe-awe. Dak cobane ayoh! Yen dak sawang ana ing langit biru arem kana kae, sliramu tansah ngawe-awe. Widadari lagi Ngangsu banyu suci kanggo ngedusi donya kang wis reget kanthi setya lan tresna Widodari lagi Ngangsu banyu suci kanggo ngedusi donya kang wis reget kanthi setyo lan tresna. Tresna kang lahir saka sejatining rasa, sejating aurip. Tresna kang lahir saka sejating rasa, sejating aurip. Ning. ning nong nong ning ningglong! (ping bola-bali) Ning ning nong nong ning ning glong! (ping bola-bali) Anu Ca, Njogete Cahyadi lan Nanang dikoreografi neh ya. ben katon dinamis lan atraktif. Ben pemirsa pada seneng lan rada gumun. ) Ngangsu banyu suci kanggo ngedusi donya kang wis reget kanthi setya lan tresna! Ngangsu banyu suci kanggo ngedusi donya kang wis reget kanthi setya lan tresna! Ngresikki bosok ing ati! Ngedusi awake dewe! Ngumbara. awake dewe ngumbara. ngumbara ing awang-awang! Ngresikki bosok ing ati! Ngedusi awake dewe! Ngumbara. awake dewe ngumbara. ngumbara ing awang-awang! Mertapa ing sajroning guwa! Guwa kang padang. madangi mata, madangi ati, madangi samubarang ala! ning ning nong nong ning ning glong! Mertapa ing sajroning guwa! Guwa kang padang. madangi mata, madangi ati, madangi samubarang ala! ning ning nong nong ning ning glong! Kecandak ra kowe wong ngedan anyaran! Nang. Ha endi Widodarine? Ssssttttt. Kae galo mbak Widorari lagi adus ro sabunan. Anduke abang kae galo! Woh. ho oh e Nang. Wis edan tenan kowe ya Le!! (Kaget banget!) We. lhadalah! Wong do edan kabeh! Hayo! isa metu ora?!!! Nek ragelem metu tak grujug banyu. Ha ya ra waton nek nyangkem Din. Njuk ngoneke kirik barang. Pitek elek we dingu! (Njenggung ndase Cahyadi) Pethuk! Woo. Jingan ni! Ngejak senggel ro aku po Din? Ciaatt. ! Woo. Wani tenan! Haiit. Tampanana. !! Cups. cups. cuppsss."
8,"Oalah Nduk nduk. kapan marimu. ? Mencret kok terus-terusan. Wis turu wae sing angler. Sibu mesti ndongakke kowe ben cepet mari waras-wiris bisa ngguyu lan cepet mlaku. Ealah Nduk genduk. Tujune kowe ki tiru Sibu dadi rupamu ki rada manis, coba tiru bapakmu mesti elik tur wagu lha wong rupane bapakmuki stok lawas! Nanging Sibu tetep seneng Nduk ro bapakmu. Wahjan, Sibu ki sedih tenan je nduk nek kelingan Bapakmu ki. Wong lanang sing setyo tenan marang Sibu lan kowe. Wong lanang sing tanggung jawab. Tur ya kuwi nek diandani mesti ngeyel. Karepku ki nek ra ndidit mbok ya uwis rasah ngangsa. Waton obah nyambut gawe apa anane, terus nyelengi mbaka sithik. E. malah reka-reka ngrampok Bank barang. Ha ya wis, di dor mas Polisi! Terus. wah wis wae ya nduk Sibu marai nangis. lho. ! Widodariku. arep nangendi sliramu. ? AAA. Go! Go! Oh Shiit! Go! Go! Yuar kresi Men! Pliss Lets mi eloun. ! Ora urusan! AAAA. !!! Fak Yu Men. ! Woo. Widodari Ireng! Den. ! Den Nanang! Ana apa mbok? Wah jan kulo padosi kit enjang wau je. Simbok niku rak kangen to Den kaleh njenengan. Mbok Sam sing tak tresnani nganti salawasing uripku, wis ta rasah nggagas aku. Aku ki wis dadi wong lanang sampurna arep ngondar-andir bawana! Muliha kana urusen awakmu lan anak-anakmu! We hanggih mboten saged no Den. Lha kula niki sampun janji kalian suwargi tiang sepuh njenengan je. Kulo niku jaman sementen dititipi amanah kalian Suwargi Sibu ken tumut njagi njenengan Den. Wis ta Mbok. setya marang urip kuwi luwih penting tinimbang setya marang ndoromu mbiyen sing wis ora ana. Wah teneh kulo saged kuwalat mangke! Lha wong Suwargi Bapak niku sampun nganggep kula sederek piyambak, terus kula tumut keluargi njenengan niku nggih pun kawit prawan. Nanging piwales kula dereng wonten Den."
9,"Kasetyanmu marang urip lan nggedekke anak-anakmu luwih becik tinimbang awakmu mikir piwalesmu marang wong tuwaku mbok. Walah, Den Nanang niku lho. kok senengane ngajari wong tuwa. Niki wonten oleh-oleh saking pasar monggo dipun cicipi rumiyin ben mengke bengi mboten klisikkan. Mbok. Simbok! Mbokkk!!! Lho! Nduk! Kowe ki piye ta? Kon nunggoni adhine kok malah playon! Konang kumat! Konang kejang-kejang mbok! Welha! Kowe ki piye ta?! Rak ya di kompres! Es e ki entek. Wis mbanyu kabeh je Mbok! Wah jan! Wis pitung ndina kok ra mari-mari ta ya?! Digawa nang ndokteran wae Mbok! Duite Mbahne po! Mbok. mbok Simbok. Ngapa ta ya Mbak mbok ki! Aku entuk takon ra? Arep takon apa? Nganu. Simbok ki nek ngundang Nanang kok nganggo Den barang ki ngapa ta mbok? Nanang ki rak wong edan ta? Aja-aja simbok ki. Hush! cah ngawur! Kowe mung arep ngonekke Mbokmu ya edan ta?! Ha jeneh tak undang-undang kok ra krungu. Malah ngobrol karo Nanang Edan! Oalahhhh. nduk. nduk. dadi kowe ki seprana-seprene dadi anakku ki durung ngerti ta? Kene nyedak. Kok isa edan Mbok?! Kosik ta. di rungokake disik, simbok ki durung rampung sing crita. (ngunjal ambegan) Lha pak Lukita kuwi rak kamase Kajine Amat Sugeh kae. Wo. dadi. Kajine amat ki. Kosik to nduk. mbiyen jaman semana ki Den Nanang isih cilik. lha Pak Lukito ki rak juragan Beras sing kondang sugih tur ora adigang adigung, malah lemahhe di wakafke dinggo mbangun sekolahan lan Mejid, semana uga Bu Lukito, priyayine manis tur luwes, grapyak gelem sapa aruh karo liyan. Atase wong wadon tur sekolahe duwur. Nyambut gawene usaha bakulan batik lan dadi guru pegawai negri nang kutho, tur embuh merga apa malah njaluk pensiun mangka umure ya isih nom rong nganti seket taun. Malah mbukak sekolahan neng ndesa kene lan mulang warga desa sing gelem sinau."
