,text_jw
0,"Mbah! Mbah Jebraaaaak. ! Mbah! Mbah Jebraaaaak. ! Sing lagi nggawa kayu saka njero mgomah metu karo kaget. Mbah. ! Ngapa, ana apa? Wedhusmu mbah! Wedhusmu. ! Heh, Wedhusku kena apa? (Kaget, tiba, kayune morak-marik). Mbah! Wedhusmu! Piye, Le, piye? Wedhusku piye? (Ngewel, banget kawatir marang wedhuse) Wedhusmu ora papa Mbah. Isih ana kandang! Sehat. Hahaha. (Njoget-njoget, karo ninggalke Mbah Jebrak, karo ngece-ngece, orang rumangsa salah). O. Wedhus! Wayah bengi Neng ngarep omahe. lagi jagongan karo. wong loro, tuwa anom, katon rukun, ibut nglinthing mbako lan wur. Wedhus Mbah. Aku ki wis kawit mbiyen pengin ngingu wedhus. Halah, apa kowe isa ngopeni? Nek mung ngopeni'e gampang Mbah. Angger dipakani suket lakya urip tho Mbah. Sing aku gak isa ki olehe tuku Mbah. Ora ana duit sing tak nggo tuku je. Ora usah kawatir Mit, suk nek wedhusku manak, tak wenehi cempe'ne. Bayaren murah-murahan wae. Wah, gelem Mbah, gelem aku. Wis meteng tho Mbah? Kawin we durung. Heh. heh. heh. Ealah. Njaluk ududmu neknu. (Karo nyaut udude Mbah Jebrak). Pak Darmo olehe mantu kapan tho Mbah? Nek ora kleru suk Setu malem Minggu tho Mit. Lha ngapa? Ora papa Mbah. Mung ngelu olehe mbalekne sumbangan. Heh. heh. heh. Bab nyumbang tho Mit. Ora usah digawe mumet Mit. Kaya aku iki lho. Ana ya nyumbang, nek ora ana ya uwis. Mlaku metu saka pekarangane. mandeg neng ngarpe omahe. gojekan pager. karo nyawang omahe. Nyawang omah iki, dadi kelingan pas cilikanku mbah. Bapak Simbok mung magersari, sakwayah-wayah neng dikon lunga, ya kudu lunga. Beja aku, isih nuku lemahe Lik Sukidi, sanajan mung sekilan paribasane, duite ya duit utangan, isa tak nggo gawe gubuk iki. Isih nyawang omahe, wis klebas-klebus udud. Omah kuwi, sanajan kaya ngapa bentuke tetep dadi jujugan. Paribasan manuk mabur, wayah sore mesthi balik njujug susuh."
1,"Manungsa ya ngono kuwi mbah, esuk lunga, golek butuh dhewe-dhewe. Ana sing kerja, ana sing sekolah, ana sing butuh ketemu kanca, butuh ketemu dulur. Ananging nek wancine, mesthi dho bali. Njujug omah. Nyelehne awak, ngedemke pikir. Leren. Kabeh ketemu neng omah. Kudune nek wis tekan omah, pikiran dadi ayem, tenang, kepenak. Kuwi nek lumrahe omah mbah! Nanging omah iki kok ora. Angger mlebu ngomah, pikiran malah dadi bludreg, rasane mung pengin nesu. Uteg malah dadi umub. Panas. Lha mlebu ngomahku apa piye? Aku lagi mikir mbah. Tentreming urip kuwi dumunung ana neng ngendi mbah? Lha ya embuh. Apa merga banda pikiran dadi tentrem mbah? Apa merga bojo ayu ati dadi seneng mbah? Apa merga jabatan rasa dadi ayem? Lha nek kowe nyawang aku piye Mit? Nyedhak Sampeyan kepenak mbah. Ora ana sing dipikir, ora ana sing digagas. Urip ijen, ora ana beban! Heh. heh. heh. Lha apa ijol. Kowe manggon kene, aku tak neng kono? Mit, umurku wis meh 70 tahun. Pait legine kahanan, aku wis tau ngrasakne Le. Paribasan telung ndina telung mbengi ora mangan ora turu, aku ya tau nglakoni. Nanging kowe ya ora ngerti tho, nek aku ya tau nduwe banda sing dipangan pitung turunan ora bakal entek? Hah! Tenane mbah? Lha endi? Heh. heh. heh. Kabeh tak tinggalke Mit. Kabeh kuwi ora isa gawe tentreming ati. Tentreming ati kuwi ana neng kene Le. neng ati. Banda, wanita, pangkat, jabatan kuwi mung titipan. Paribasan kesenengan sing semu. Lha ning uripku kok ora tentrem mbah? Sing salah sapa mbah? Ora perlu nyalahke sapa-sapa Le. Urip kuwi lelakon. Lelakone manungsa kuwi wis ana sing ngatur. Nek manungsa isa nampa apa sing dadi lelakone, uripe bakal isa tentrem. Lha aku kok ora isa nampa Mbah? Durung Lhe. Merga kowe durung isa nampa kahanan uripmu."
2,"Lha genah ora isa nampa Mbah! Sapa wonge sing isa nampa kahanan kaya ngene! Nalika lampu murup, panggung nandhake wanci esuk, wayahe wong mangkat nyambut gawe. nalika kuwi wis magrok neng kios manuke. ibut gawe kandang manuk. , bojone wis molak-malik mbukaki buku cathetan wong nyumbang lan mbok jebrak lagi makani wedhus. Dumadakan jedhul soko sisih kiwo panggung sing wis dandan mlipit sajak arep glidig kantoran. katon kaya polisi ngindhik maling, polahe blingsatan lan ngerti-ngerti mlebu ana ing kolahe. bocah wadon anake sing durung rampung adus saknalika bengok-bengok. mbalang cidhuk kena sirahe Arep muni-muni nanging wis kebacut nugel kandhane. Ngkosik! Ojo muni sik! Mengko wae yen urusanku wis rampung, munio sak karepmu. Iki urusan ndonya akherat. ( BANJUR MINDHIK-MINDHIK MANEH) Anyak dines, Di? Hus, pitakonmu kok simpen dhisik wae! Opo ora weruh aku lagi ngoyak maling? (JEDHUL SIRAHE) Halah. ! Maling opo. (NAPUK NGANGGO TAS) Ora guyon sik, iki kahanane gawat! Ora let suwe, saka panggung bagian mburi nurut karo dalan kampung katon mlaku megal-megol. rasane atine samsoyo ora umum. solah tingkahe mangkelake wong sing nonton. Bareng tekan cedhak. Monggo, Mbah Jebrak. Monggo, mbak guru. Monggo,. Bu Kamit (JUDHES) Monggo. ( amung mesem marang ) Metu. Wedyan. !! esemane mbakyu. Walah. Walah ngrusak ndonya akheratmu? Tenan yen iki. Lha kuwi genah mbak Guru Ginah no leh? Jare maling? Maling atiku, cah ayu. Huuuuu. Ngkosik, aku arep ngencengke perkoro. Mbak Ginah mau dudu Guru lho, Mbah, ojo kleru. ( cucul klambi kantoran) Lha yen dudu guru ki opo? Penyanyi nangnut? Menthunthung sigrak tengah. aaahhh, Kuwi dangdut, Mbah! Genah wis chetho ketok mata, gaweane Ginah kuwi opo. Sampeyan ojo gawe perkoro lho, Yu! Lha genah adol 'monggo' no leh. Monggo piye? Lha kuwi, saben liwat nawake monggo. Monggo, Bu kamit. Monggo Mbok Dhe Jebrak. Ngguyu Yen mlaku digawe-gawe, gol megal megol."
3,"Sayake katutan monggo yak'e, Mak. Hahaha Sreiiii! Wong ki yen jalaran srei yo pancen koyo ngono kuwi! Apa-apa digunem ala. Wis, aku arep mergawe dhisik. Kok macak bagus temen ki arep nengdi, Lik? Arep genti dines, Nduk, aliyan nggon sing diindhik. Lha yen macakmu koyo ngono kuwi sing mbok indhik njur sopo, Di? Ngguyu maneh. amung mlengos Kang, ojo lali, yen ngarit njur ketemu cacing gedhe-gedhe kui genah bagianku, ojo dibabati. Ora, Nu. Ora bakal tak babati, nanging cacingmu iku sing bakal tak babat ludes. Jenggirat nglungani. sing liyane isih podo ngguyu. Lenguuusssss!!! Mbok jebrak mlebu ngomah. mbacutake nggoleki catetan jeneng wong njagong. budal sekolah. Mak, budal riyin. Ayo, lik melu ora? Mbesuk yen makmu sing dadi guru, aku lagi gelem melu. Mangkat sekolah. mlebu ngomah. Lampu mati. Lampu murup. wanci sore. wayahe wong mulih nyambut gawe. gawe kandang manuk. uga isih nggoleki jeneng. Mulih saka olehe nyambut gawe. wis pancen saben dinane yen nalika mulih nyawang wong loro iku kaya wong sing wis kadunyan. ora ngerti abot repote wong golek sandhang pangan. Reka-reka ora ngerti menawa. teka. ora ngrewes. amung ngelus dada sinambi ngela ambegan. Mbelu ngomah cucul busana. karo sedela-dela nyawang saka jendela. Banjur gawa metu ember gedhe sing isine pakaian. digawa mlebu menyang kolah. Mlebu ngomah maneh. metu gawa pakaian maneh. Metu ngomah, jupuk kayu. Sari opo durung mulih ta, Mbah? Mau kayane uwis ki, Mit. Jare kandha arep lungo menyang nggone kancane ngono. Horok mbok coba takon bojomu to, Le. Genah, bojomu ya ana! Ora takon karo wong bisu Mbah! Mlebu ngomah maneh, metu gawa rinso. Lan sakpiturute sinambi nyampar apa sing bisa disampar. Atine mangkel. Makjenggirat mlebu ngomah, banjur metu lunga. Mlebu pekarangane. Sing sabar ya, Le. Sing kuat atimu. Kurang sepiro olehku sabar ta, Mbah? Pancen yo ngana kuwi yen wong wadon sing kebacut."
4,"Bacut kulina nyandhang apik, bacut kulina mangan enak, bacut wor-woran karo wong-wong sing duwe donya. nanging ora nyawang kahanane kaluwargane dewe. Bisa mangan opo ora, bisa nyandhang opo ora. Sing tak getuni ki jane yo mung siji mbok, iki lho (NUDING AMPLOP). Kene sing direwangi rekasa, esuk nganti sore pencilakan tekan ngendi-endi, golek upa sak gecil. Paribasan sikil kanggo sirah, sirah kanggo sikil, lha kok, ealah. entek-entekane yo mung diguwang nggo nyumbang. Yen nggo nyumbang ki jenenge lak yo ora diguwang ta, Mit? Kuwi yen sing disumbang wong sing pantes disumbang. Wong sing bener-bener mbutuhake sumbangan. Wong rekasa, wong kesusahan. Lha, iki? Iki wong keduwitan kabeh, Mbah, tur dudu wong lagi nandhang susah. Iki wong seneng. Seneng piye? Lha yen wong duwe kajab nikahake anak, syukuran, kuwi apa ora wong lagi seneng jenenge? Nyumbang kuwi lak tegese bantu ta mbok? Jenenge wong bantu kuwi mestine duwe samubarang sing turah, mbuh kuwi awujud duit, wektu utawa tenaga. Tur meneh sing disumbang kuwi lumrahe wong sing lagi kesusahan lan mbutuhake sumbangan. Nanging upama wong seneng disumbang, yen sing nyumbang kuwi turah bandha, yo karepmu. Hus, ojo ngono kuwi. Wong nyumbang ki kudu lumantaran rasa iklhas lho. Nah, kuwi! Kuwi sing tak gumunake. Jenenge wong niat syukuran kuwi mesti wis niat ikhlas bakal metu bandha. Tegese kuwi mampu. Mula kudune yo syukuran sak mampune. Nanging kenapa kok wong-wong meksa duwe gawe sing ngungkuli kemampuane? Sing kepiye kuwi? Lha yo kuwi, paribasane gur duwe duit rong yuto nanging meksa nanggap dangdut saka adoh kono. Komplit sak penyanyine sing senenge nganggo klambi mlethek-mlethek. Yen wis ngono njur bandhane saka ngendi? Sumbangan. Lha yo njagakake sumbangan to? Lha ngono kuwi apa ra malah ngrekasake liyan? Rekasa piye? Yo, rekasa sing kudu nyumbang."
5,"Lha ya sapa sing ngudokake? Lha yen ora nyumbang opo ora dirasani, digunem, diwales ra disumbang? Iki sing gawe sengsara. Perkara nyumbang malah owah dadi utang pinutang. Kuwi lak wis dadi adat to, Le, wis tradisi. Adat yen nekak gulu opo yo becik dibacutake? Sing penak tambah penak, sing rekasa soyo sengsara. Contone yo koyo awake dewe iki. Wong raduwe-duwe tenan nanging kepeksa nyumbang merga wis tau disumbang. Direwangi utang kono utang kene gur arep kanggo mbalekake olehe nyumbang. Kamangka sing duwe gawe cetha sugih mblegedhu. Nah, ngono kuwi jenenge nguyuhi segara, lha yo to, Kang? Nguyahi! Nguyuhi lambemu kuwi. Adat mbiyen ki dak kira ora nganti kaya ngene iki. Mbiyen ananing nyumbang kuwi kanggo nglestarekake upacara adat tradisi ben ora mandeg. Nanging upacarane kang sak lumrahe. Ora nganggo sing-sing tetek bengek kaya jaman saiki. Mbiyen upacara penganten nganggo slametan, tangga teparo podo urun beras yen duwene beras, jagung yen duwene jagung. Kuwi yo sak pawihe, sak kuate. Upacarane ringkes miturut kemampuane sing duwe gawe, ora perlu ngoyoworo. Lha saiki yen ra nganggo bukak sithik jos jare ora gayeng. Yo genah to kang, wong duwe gawe yo kudu gayeng. Kowe yo melu udu? Aku urun joged wae. Mergane yen ora eneng sing njoged yo meksa ra gayeng. Ngono kuwi jenenge melu keplok ora tombok. Arep mulih Dingaren temen, Nu. Yah mene gage le arep mulih. Arep nguyuhi segara sik. Lungo. Mulih saka ngarit, nututi. Hayo, kowe mesti telik sandine wong londo. Yen ora kenopo kowe dlusap dlusup neng galengane Mbah Marto? Mesti kowe arep melu mateni Mbah Marto. Kongkonane londho yo kowe. Janji ra minggat saka kene, tak sikat untumu! Lik, lik Kamit, iki aku nyekel telik sandine londho. Deweke duwe senjata api. Uireng! Mau nggo nembaki wit lomboke Mbah Marto. Mesti mau wis nyebar racun. Ben Mbah Marto mati."
6,"Kowe tak racuni kene sisan piye? Tiarap! Kabeh tiarap, pistole arep metu meneh! Tulung! Tulung! Mbah Bayan! Tulung! Ono mungsuh tekan kene! Minggat ora?! Titenono len. Tak kandhake Sailermun. Dengan kekuatan bulan akan menghukummu! Lungo. Mlebu kolahe. metu maneh trus bali ndadan mlipit nganggo klambi kantoran. Haiyah, priyayine sajak wis siap ngadhang widadari. Mbok pisan-pisan diruh-ruhi ngono to, Di. Seprono seprene wanine kok gur mesam-mesem wae, kapan tekan tembunge jal. Ha yo kareping ati yo ngono to, Mbah. Nanging cangkeme iki sing durung tekan. Lha opo tak silihi cangkemku piye? Ojo! Wegah! Cangkemu amis. Arep mbalang, nanging distop. Ngkosik! Kae gal owes mudun widadarine. Tenan, Di. Yen saiki kowe wani ngeruh-ruhi kowe entuk mangan sego tumpang neng nggonku. Tenan, Mbah? Tenin! Melu nyawang sing mlaku saka kadohan. ancang-ancang arep ngeruh-ruhi. Dumadakan mbuh saka ngendi parane njedul neng cedhak bagor isi suket olehe sing ngarit. Ganja iki mesti! Tenan, iki ganja. Arep dicemplungke nang sumurmu, Lik Kamit! Ben kabeh sing ngombe banyu sumurmu dadi mendem trus modar sedanten. Iki pengkhianat negoro. Sailermuuuuuuuun!!! Mlayu lungo, dioyak Wooo lha cempeeee!! Heh, ojo lungo! Mandeg! Tak sikat untumu! Bali wayah esuk maneh. kaya adate, ngetungi amplop, makani wedhus, adus. Lagi teka, nyangking kandang. Yu, wis lebon durung? Durung duwe duit. Galo wonge arep teka mrene. Walah, lha kok mruput temen. Gage le ngukuti amplop. dilebokake ngomah banjur delik ana kolah. bengok. Ssst, menengo. Ana gendruwo! Aku wedi mak. Teka, mindhik-mindhik nganti tekan kolah. banjur mlebu. kaget bengok banter. melu bengok ora kalah banter. Kere! Owalah, tak kira gendruwo, jebule kere. Tiwas aku kaget. (ISIH GEMETERAN) Tak kira wewe gombel manak, Yu. Mbacutake niate. kaya adate. ngindhik sing arep mangkat mergawe. Sega sambel tumpang durung tembus lho! Tenangno pikirmu, Mbah. Dina iki tak wanek-wanekake, tenan! Njedul uga kaya adate, mlaku megal megol. Monggo, Mbah Jebrak."
7,"Monggo, Mbak Guru. Monggo, Mas Pardi (madhep nang ) Waduh, Mbah. Ngeruh-ruhi aku. (BUNGAH, CENGINGISAN) Yo diwales to, Di! Durung nganti males, wis lungo. teka neng cedhake. ngira kuwi. Tangane ndemok pundake. samsaya cengingisan. Aku kudu piye iki, Mbah? Kontrol, Di. Kontrol, Di. Tangane ndemok tangane. bareng noleh. Hiyaaaaaaaa! Cempe. Tengu. Haiyah, tengu sakmene gedhene? Lha opo ana cempe sing ayune kaya ngene? Halah, Mbuh. Aku arep ketemu, Yu Suli! Yu, Yu Suli! (MARANG ) Yu Suli ana Ngendi? Mbuh, ora weruh. (MACAK AREP NGARIT, BANJUR LUNGO) (MARANG ) Yu Suli ana ngendi, Kang? Meneng wae. malah reka-reka nggoleki neng klambine. Wong kenthir! (MARANG MBOK JEBRAK) Bu'dhe, Napa sumerep Yu Suli? Wah, pangapunten. Kawit enjang kok dereng ketingal nggih? (OMONGAN KARO AWAKE DEWE) Dosa siji. Daleme suwung niku. Tindakan mbok menawi, Bu. Dosa loro. Tindak dateng pundi nggih? Pangapuntenipun, Bu. Lha badhe kersa punapa to? Kula saking bank, Bu'Dhe. Punika sampun wancinipun lebon. Mangke sonten punapa kados pundi? Piyambake saweg tindakan kadosipun. Dosa telu. O, Nggih menawi mekatin titip weling kemawon Mbah. Nyuwun tulung panjenengan sanjang dateng Yu Suli, bilih kula mangke badhe sowan mriki malih. Matur Suwun Mbah. Pareng. O, Nggih, Monggo-monggo. Arep lungo nanging krungu suara ana ing kolah. nyedaki nanging. Dumakan njedul saka sisihe kolah. Dor! Dor! Awas! Ampun ndemok banyu mriki, banyu mriki mpun kena racun. Mengke yen sampeyan ngombe saged modar jalaran gerah sakwetawis wekdal. Mpun mang minggat mrika! Kula amanke ndisik! Kula mpun angsal kekuatan saking Sailermun, kok. Wong gendheng! (BANJUR LUNGO) Gendheng opo salak, mlaku timik-timik."
8,"Monggo enggal minggat yayi! (MARANG ) Lik, mau telik sandine londho wis tekan kene durung? Aku wis nggowo senjata nuklir saka newyork afganistan arep tak tembak cengele! Lik kandangmu pring'e morak-marik glo! Pring'e nek ora morak-marik yo ora dadi kandang! Kene tak lebokne kandang! (KARO MBUKAK KATHOK) Gemang!! Gemang! Aja! Aja! Tulung Sailermuunn!! (LUNGO) Dengaren isih esuk wis mulih. Esuk-esuk kok ramene ngungkuli pasar. Ana apa ta Nu? Apa-apa ana, Kang. Gari milih. Sing genah dina iki lakone gayeng. Karo metu saka kolah. mlebu ngomah. Bapak yahmenten kok sampun kondur? Napa mboten nyambut damel? Bapak lagi wae entuk rejeki, Nduk. Iki gilo wis entuk sarapan. Kana dimaem njero kana! Asyik. ! Mak, Bapak ngasta sarapan! Metu saka omah. makjenggirat lunga gawa bungkusan. Lho? Mak? Mak'e ajeng teng pundi? (MARANG ) Pak? Owalah Gusti, apa meneh kae sing arep didol? Mlebu ngomah. bali metu maneh. Gusti Allah, paringana sabar. Apa-apa entek ludes, gur arep dingo mburu gengsi. Yo wis kaya ngono kuwi tekone mak mu, Nduk. Wayah awan. isih neng kios kandang. ana njero omah. Metu saka omah bareng karo. arep mangkat jagong. Mbok ora usah mangkat wae to, Mak. Duite kanggo liyane. Kae bekakas sing tuku aku dewe. Dadi yen tak dol yo duite tak nggo sak karep-karepku dewe! Mbok yo ora mburu gengsimu dewe. Kowe apa ora nyawang, Sari ki wis wayahe ragat akeh. Sedela ngkas munggah SMA. Ragate mlebu SMA kuwi ora sithik. Bab sekolah anak kui lak urusane wong lanang. Aku yo ramelu cawe-cawe! Bu Darmo iki wong penting. Mbiyen nalika sepasarane Sari Bu Darmo nyumbang satus ewu."
9,"Lha yen aku ra mbalekake njur raiku tak dokok ngendi? Bu Darmo kuwi lak wong sugih mblegedhu, tur meneh apa ya butuhe dewe mung jagong? Saiki isa jagong, sesuk mangan apa? Sesuk ya golek meneh! Sing golek sopo? Kowe yo isa golek? Lak yo isamu mung adol bekakas ta? Yen wis entek gusis jur arep adol apa? Adol awak? Yo ben! Wong wedok ora aturan! (AREP NAPUK NANGING BENGOK) Aduh biyung!!!! Iki ana apa ta elae! Awan-awan kok nanggap bratayuda ana apa ta genahe?? Wis patenono aku sisan, Kang! Ngkosik, iki ana apa ta? Wis ben, Mbok. Sabar kuwi ana watese. Wong wedok yen ora iso diatur ben tak rampungane saiki! Nu, Kamit gocek ana! Nggoceki. Sareh, Kang. Sareh, Kang. Ora isa! Kudu ana sing mati! Nyebut le, Nyebut le!! Patenono aku kang! Ngkosik! Siji tambah siji piro? Loro! Loro tambah loro? Papat! Gendera Indonesia apa? Abang Putih Lagu kebangsaan Indonesia apa? Indonesia Raya! Sila ketiga Pancasila apa? Persatuan Indonesia! Pekik perjuangan apa? Merdeka! Baleni! Merdeka! Baleni! Merdeka! Nah, wis. Bar. Mupakat. Nyalami karo. karo bingung. Wis, saiki karepmu cah. Dikandhani wong waras ora nggugu, nanging didikte cah gendheng malah manut. Wis terus-terusna wae. Aku ra melu cawe-cawe. Yen nekad kok bacutake yo tegese ora ono bedhane kowe kabeh kare cah gendheng kae. Yen ana sing mati layato dhewe, ndhudhuko jugangan dewe. Urugen dewe. Ndonga'a dhewe! Pitung dinanen dhewe! Patangpuluh dinanen dhewe. ! Malah muni-muni banjur mlebu ngomahe dewe. Lungo klepat. Mlebu ngomah. Ndandani kandang, nanging dumadakan teka kaya adate. gage le arep ngindik. Owalah, Kang, Kang. Sampeyan kok yo ra jeleh-jeleh to, Kang? Ngene iki jenenge tresno sak modare, Nu. Lha yen carane kaya sampeyan kuwi, mbok nganti modar to yen kecandak."
