,text_jw
0,"Dondong apa salak Maak!! Ana Asu mlebu ngomah!!! Cia. ttt!!! CTAR. CTER. CTER. CTAR. ! Gugukkk gukk gukkk gukkk!! Grrrr!!! Hahaha. Kakakakakakak. !!! Minggat!! Asu Njijiki!! Kena cengelmu ra we! Wo. malah mecicil! Tampanana! Ciaaattt. ! Modar Cocotmu! Sum asune mau bali meneh ra? Aku rangerti e kang? (Sumi lingak-linguk) Kae pa kang Asune? Ndi e Sum? Kae lho malah nguya-ngguyu! Wo ho'oh e! Pancen truk biangane tenan ok! Bakal tak kemah-kemah tenan kowe Su! Mak ana asu mlebu omah! Asune sapa? Aneh-aneh! Nduk, Muleh yo! Ki tak gawake oleh-oleh. Kang masmu nangendi je nduk? Mlayu ngoyak asu mak. Wah jan bocah kok senenge aneh-aneh! Ngapa e yu? Surip ki ngoyak-oyak asu! Seneng ro asu pa yu? As Mbuh Kir, Surip ki rak cah angel ta? Di parani prawan Ayu malah ditinggal gawe kandang pitik. Disenengi randa sugih ya emoh. Malah ngoyak-oyak asu! Kae ki gek-gek seneng wong Lanang yu? Racaturan Kir, kae ki piye-piye tetep anakku! Seneng lanang pa wedok tetep tak sayang! (MAK JIUK AMBEGAN SEDELA) Ora, Kowe ki arep nangendi e Kir? Kok le rapi. Nggolek Banci Yu! Oalah Kir. Bakir! Wong Wedok sa arat-arat ok, malah milih Banci! Ha kowe durung tau ngrasakake kokYU! Sing dirasake ki apane je Kir? Cah enom aneh? Muleh yo nduk! Wo. lha wong radong! Hobi e malah dionekke aneh! Yoooo. Mbanci yo. ! Mbanci mbanci mbanci. mbanci mbanci. MBANCI. YEACHHH! Banci pa ya? Kowe ki ngapa e Rip? Kurang gawean! Lho Rip?! Awakmu koq isa ngaceng ki piye ta Rip? Kena apa ta kowe ki Rip? Apa aja-aja. ? Wo iki mesti kena sawan! Omah koq dadi rakaru-karuan ki piye ta ya? Wis, kowe dolanan nang kono disik nduk! Iki mesti gara-gara Asu sing dioyak-oyak Thole! Naik-naik ke puncak gunung tinggi tinggi sekali."
1,"Wis yo nduk melu Simak! Nengendi Mak? Nggoleki kang masmu! Kowe ki ngapa e Kir? Ngoyak banci pa? Waton! Aku arep nggolek wong ampuh! Nggo ngapa e? Nggo nulungi Surip! Surip sapa je Wo. wong radong! Ha ya Surip anakmu! Lho? Kir enteni Kir! MAK JIUK NUSUL BAKIR Surip ki kena apa e Kir? Saiki bocahe nangendi? Kena sawan! awake ngaceng kabeh! Kana kowe ngancani wae! Bocahe nangendi e Kir! Wahjan malah meneng wae! Welha Denok mau nangendi yo? MAK JIUK NGGOLEKI SUMI. We. malah engklek meneh! Yo nggoleki kamasmu! Thot Cothot! Surip tulungi Thot! NANGING COTHOT MENENG WAE TETEP LATIHAN SILAT! Thot awake Surip ki ngaceng kabeh! Raisa obah! Kowe nek crewet wae tak antemi lho Kir! Ki tenanan Thot! Cepet Thot tulungi! Saiki Surip nangendi? Nangisor wit Nangka! Yo Thot melu aku Thot! Wis kana kowe ndisik wae! Houp yak! Houp yak! Ciaaa. ttt!! Nge Get geti kwe ki Thot! Iki pokokmen asune kudu kecekel Thot! Nek ra kecekel marai mangkel! Omahku wis diosak-asik e Thot! Dilit kas mesti sing diosak-asik omahmu! Iki sing marai tangga-tanggane awake dewe dha lunga ratau mulih! Saiki ming kari awake dewe sing manggon kene! Asune kudu digoleki bareng-bareng! Lho wis mari pa Rip? Wis mari tenan ta ki? Uwis Beres! Nggolek banci neh ah. mbanci mbanci. He Kir! Sing mbanci kosik. Kowe kudu melu nggoleki Asu! Suk rak kecekel dewe Rip. Iki masalah serius Kir! Pokokmen asune kudu kecekel! Nek ra kecekel bakal rakaru-karuan tenan! Lee. thole. lee. Rip kae rak suarane makmu ta? Mak. simak. aku nang kene Mak. Mbok ra bengak-bengok Rip, diparani wae Mak aku nang kana kae lho. Mak! Karo Bakir ro Cothot. Nyusul ya Mak. ta enteni. Wis sak iki dirembug sing tenanan! Mak, Kir, Thot, Sum."
2,"Saiki awake dewe kudu dadi siji nggoleki asu bareng-bareng! Piye do siap kabeh ra? Siap ra Mak, Kir, THot? Siap!!! Kepyakke! Yo saiki digoleki bareng-bareng!! Yo. digoleki yo. !!! PECUT BLEDEK! Lan SENTER, LAN BLEBET SIRAH BEN KATON WANGUN. Saiki mlencar dewe-dewe! Mak aku melu mak. Aku wedi je mak. Yo wis kowe nang kene disik wae. Nunggu aku Cicak-cicak di dinding diam-diam di dinding Lho Sum? Kok tekan kene? Asune wis ketemu Mak? Durung je nduk. paling asune lagi blanja nang supermarket nduk. Aku tak nyanyi meneh ya mak? Rasah nduk, ndak asune ngerti. Wis melu simak wae kene. Piye Asune wis metu durung? Durung je Rip,mmm. nggolek banci wae yo. gelem ra Thot? Kowe nek crewet wae tak tapuki gusimu lho Kir! Kowe kok jahat to Thot? Wis ayo nggoleki meneh! Malah ngganyik! Asune ki nangendi ta ya. Su. Asu. Ndene su. ! Kir. Thot. ! Ha kae Asune. Guedhe tenan! Sak Gentho! Kir. Thot. Wuoh. bajingakk. Kir. Thot. Mak. Sumi diamanke!! Ana pa ta Le. ? Asune wis teka mak. awake dewe dikupeng mak. ! Kir. Thot. Kowe nangendi? Ciaaa. ttt. ! Ciaaa. tttt!!! Grrrr. hhh Guk Guk. Guk. Guk. !!! hahahha. kakkkaaa. !!! Kowe ki ngapa ta su? Senenge marai! Mak!!! Ki lho Asune Nakal!! Wanine karo cah cilik! Nek wani nyedak neh tak idoni! Woo. ngece! Cuih. cuih. cuih. ! Minggat!!! Didhoni Mak!! Didhoni Mak!! Piye Rip? Wis aman ta? Wo Malengi! Kowe ki mau dha nangendi je? We lha aku mau ki ro Cothot nggebuki Asu nang Mburi omahe Mbah Karto Je! Saiki awake dewe kudu jaga-jaga ki Rip! Nggone mbah Karto diparani asu akeh tenan! Yo wis saiki jaga nang cakruk wae Yo! Mak, Sumi dijak mulih wae. Yo Nduk mulih sik. Sesuk ndak telat le sekolah Aku moh sekolah kok Mak. We."
3,"ben pinter je malah emoh. Lha ngapa to nduk? Ndak dadi Asu! Ealah. yo wis rasah sekolah wae. Tur ko nek dadi asu bodho pye nduk? Lha cita-citamu ki apa je nduk? Dadi Doraemon mak! Woalah. wis turu wae yo nduk! Saiki awake dewe jaga Rip? Lha iya. Nek asune teka meneh piye jal? Wedi pa Kir? Ora. Wah. mbok tak mbanci sedilit ya Rip. Wah jan! Thot, Bakir di gedhek cengelle ben lali, terus gek turu Gampang. ciattt. Diegh! Jenengmu sapa Kir? Samuel Becket! (Lega) Haa. wis lali ki Thot! Wis gek turu! Sesuk Tangine ora awan-awan lho le! Wah simak ki crewet wae! Wis aku tak turu disik ko gentenan Thot Wah senenge mbribeni wong turu! Mbah Karto sandal ki mati kok ya esuk-esuk ta ya. ? Sing mati sapa ta Rip? Mbah Karto Sandal. Wis turu neh wae yo Thot! Aku ya isih ngantuk je Rip. Ya wis mbah, karya slamet, muga-muga mlebu surga mbah. Terus nak wis neng surga rasah nggawe sandal. Ndak ko suargane dadi pasar! Tak turu meneh ya mbah. ko awan tak layat. Ra lunga nangendi-endi lho mbah! Urip kudu terus mlaku ora oleh mandeg nang tengah dalan. lan pitik-pitik jago pada kluruk kukuruyu. uuukkk!!! Wo. lha cah edan! Yah mene je sih micek! Bajiguri! Ngejak senggel aku pa Mak?! Senengane marai rame! Wong tua kurang ajar! Ratau dididik, nek nggugah sing sopan! Heh! (MARANI CAH TELU) Oalah Cah. Cah. kowe ki mung seka uyuhku we arep nantang aku! Kowe ki kangslupan apa? (IDU NANG TANGAN BANJUR DIRAUPKE RAINE SURIP) Minggat! Woh Yiyit-i! Ambune jangan brongkos! Cepet aku diewangi nyiapke dagangan! Nom-noman lanang ra nyambut gawe. Kowe ki do raisin pa Le? Wis rupane elek! Watake elek! Ra duwe gawean! (SURIP RUPANE MBLERET) Mama kok gitu sih sama anaknya? Mama."
4,"mama! matamu! Ayo cepet! Ko awan sithik aku ki arep layat barang. (SURIP MLAKU KARO NGGRUNDEL) Karang ya wong tua ra sekolahan. Galake ngluwihi Satpol PP! We lha omong apa kowe? Ora Mak, kowe kemayu tur nggemeske kaya SATPOL PP. SATPOL PP ki apa e le? Walah, kuwi kancane gedang godog. Wis rasah kakean takon! Wis do mulih disik wae. ko ewang-ewang nang sripah. Pelangi-pelangi alangkah indahmu We lha! Nduk kowe ki piye ta? Jare pamit ngising? Malah engklek! Ayo mulih adus! Cepet! Wah malah mbudeg! Bocah kok kandanane angel ta ya? Mbok leren Thot, melu ewang-ewang nang sripah. Cah mbagusi. Mbok wis Thot. nguli wae, pa dadi germo. (MUNTAB) Omong apa? Baleni! Wuoh Nesu e. ! ora Thot kowe wangune dadi tentara. Tak templing Ndasmu lho we!! Thot kowe isa kualat lho Thot. Thot. thot. Ra urusan! He! Kowe ki dha ngapa? Ora dha ewang-ewang sripah malah dha homo-homonan nang ndalan! AstafFIRULLOH. ya ampyuu. n. Kowe ki nek omong mbok ra waton yu! Aku ki dudu homo yu! Ha nek aku Homo tenanan yu! Walah. nom-noman dho radong! Marai mumet! Wis tak layat sik! Simakku mau wis menyang nang omahe mbah Karto durung je? Wis kawit mau Rip. Kene ki ngenteni kowe je. Ya yo ndana bareng wae yo! Yoo yo yo. ! Sik aku tak masang Gendera ro glogor nang prapatan disik! Gendera masang gendera! Kang, aku melu! aku ra duwe kanca je. Wedi nek asune teka meneh! Yo. tak tusulke simak, tur nek nang sripah ra rewel lho Sum! Mbah Karto ki umure kok isa dawa banget ya? Kuwi rak merga jaman nom-nomane kerep laku prihatin Kir. Prihatin piye? Teneh uripe penak tur sugih. Mosok kit enom tekan tua prehatin terus. Nganti tekan mati gawe sandal terus. Wo."
5,"wong radong! Prehatin ki lakune wong jaman biyen, kuwi dinggo anak putune! Karo nggo nglatih rasa lan raga. Ben uripe tentrem, ati lan awake kepenak. Kuwi sing marai umure dawa. Dadi sing digolekki ora sugihe dewe! Nek omong cangkeme rasanter santer. Neng layatan ngisin-isinke! Ben ming wong lima we! Laku prehatin ki piye ta? Werna-werna, ana sing pasa mutih, ngrowot, nganyep, lampah pendhak jum'at kliwon, melek bengi, kungkum. Ngerti ra? Nyilih genine Thot. (Rogoh-rogoh sak) Nyo! Kurang gawean! Nek urip 125 tahun ming kon rekasa terus ya gah. Kana prehatino dewe sak modare! Wo. Cah mbejujak! Urip nek kulina mbajing ya kaya ngono kuwi! Ass Prek ra caturan! Nyatane singurusi apa-apane rak ya awake dewe ta?. Kagem para nem-nemean dipun aturi ngrewangi! Kae! kana wis arep disareke kae! Nom-noman ra tanja! Yo aku melu! Kir. kir. kir. sik delehke disik. delehke disik. ! Kowe ki piye ta Rip? Nangarep dewe je malah sembrono! Matamu wi! Keju je! Pegel! Kir karebmu ki piye ta? Mbah Karto melu dicor neng njero kijing ki? Salahe ra ana sing dijak rembugan! Aku ki mumed Rip! Apa-apa mung dipsrahke aku kabeh. Tur carane ya ra ngene ki Kir! Karepku ki ya ben efektip! Isa dipindah nagendi-ndi mbok menawa ana gusuran kuburan. Wong edan! Senenge Nyalai aturan! Saake mbah Karto. Sumuk! Kowe ki ya ming omong wae kok le! Kawit mau esuk sing temandang gawe ki ya ming Bakir! Hai ya! Seka sing ngonangi matine, aku, ngumumke nang mejid, aku, masang gendera ro glogor aku! Sing nyewa pranata adicara yo aku! Golek tukang photo yo aku."
6,"Sing mateni sapa Kir? As Prek! Sing layat ming wong lima we ribut! Kana sing nang Argentina, Alaska ro Eropa kon ndene! Ha tur nek kaya ngene ki rak ya ra beradab ta Kir? Nek anak-anakke do teka rak ya ngisin-isini ta! Beradab Gandhu! Wong anak putune we dho ra tau nggatekke wong tuwane kok! Ra tau ditiliki. Sing njaga rak ya ming awake dewe ta Rip? Wah jan dho crewet wae! Iki sida digawa nang kuburan ra e? Nek rasah digawa nang kuburan we piye ta? Ra papa Rip. Didadekke prasasti wae nang tengah-tengah kampung! Sing pesen nangendi e Kir? Wo. lha ki lho. mbok diwaca PT siksa kubur! Direkture malaikat Jibril! Sak domen aku ki tresna tenan je karo mbah Karto ki. Aku ra lila je nek dikubur trus ming dipangan cacing. Eman-eman. Mah karto ki termasuk wong elok je. Wis ra ana neh wong kaya mbah Karto. Gusti allah wis kente'an stock! Ora ming kowe Rip. Aku ki sayang tenan, mbendina ta tiliki, ta pijeti, ta tukoke sarapan jenang. Nek ra ana sing gelem ngrawat kijinge tak deleh kamarku yo rapapa kok Rip. Hai ya! Sing marai awake dewe manggon neng kene ki ya mbah Karto. Wong paling pisanan. Wong sing marai awake dewe kuat urip. sing gaweane nyritani sujarah lan menehi wewarah. Ben awake dewe isa duwe pikiran dewe kanggo modal urip. Wong sing salawase urip mung dingo berjuang ki yo mbah Karto kae! Mbok wis yu rasah nggambleh gang perjuangan! Aku ki mumed nek krungu perjuangan ki. Marai frustasi! Kir! Kawit jaman kerajaan, jaman londo, jepang, nganti tekan saiki. mbah Karto ki obah terus nganti anak putune dadi kabeh! Deweke ya ra lara ati nek dilaleke. Kae ki mikir ora nggo awake dewe tur dinggo generasine. Kaya ngerti-ngertia perasaane mbah Karto Yu! Wo."
7,"lha cah aneh! Generasine mbah Karto ki ra kaya kowe ngono kui. Senenge mung Mbanci terus! Yo ra ngono kui Mak. terus generasine Mbah Karto ki sing kaya ngapa? Sing wis sukses, isa nggayuh ngimpine, sing dho lali karo omahe dewe? sing duwe duit akeh? Aku ki tenane ngerti mak nek mbah Karto ki wis pepak uripe. Tau dadi tentara, kuli, guru, juragan batik, wartawan, bakul donat, ketua partai lan sapinunggalane. keri dewe tukang gawe sandal! Tur saiki ki mbah Karto ki manut awake dewe. Manut sing isih urip. Pesene Mbah Karto ki mung siji Wani urip lan dadi awakmu dewe! ra ming cangkeman! Kaya kowe ta Rip?! Kakean cangkem! Asui! Wis yo gek diangkat! Mandeg kabeh!!! Ngapa ta le? Asune ki diuja wae. wis yo mlaku meneh. Ho oh Rip ko malah GR Mbok ditakoni disik wae Rip. Karepe apa? Nek arep melu layat barang rak ya rapapa ta? Sik tak takonane. (Nyela) Aku tak pipis disik ya Mak. Kana gek cepet mlayu! He. Asu asu lan asu. karepmu ki tenane apa ta? Senenge ngisruh uripe wong! Aku mrene mung arep layat mungsuhku sing marai aku dadi asu. Mungsuh sing tak ajeni! Lho? Kok isa marai dadi asu? Mergane biyen gek jaman Landa aku diipat-ipat dadi Asu! Taakoni, Karto kuwi pancen wong ampuh tenan. Nanging aku tetep ratrima! Ora, kowe kuwi su! kok isa diipat-ipat ki ngapa? Mergane aku biyen dadi begundale Landa sing arep ngrebut lemahe Karto! Nanging Karto ra manut, malah nantang kerengan. Deweke di goleki Landa pirang-pirang ora kecekel. Jebulane malik dadi kucing kembang telon. Kok ngerti nek Mbah Karto dadi kucing mbang talon seka ndi? Aku sing ngandani si Soleh adhine Karto dewe, sing matine dirubung semut. Banjur saben kucing mbang talon tak pateni, nganti ana salah sijining kucing sing ta tembak rapapa."
8,"Kucing mau malah mancal raiku, ora lidok, kucing kuwi mau malik si Karto. Deweke nesu tenanan, aku diajar nganti babak bundas. Aku diipat-ipat Yo Wiryo dina iki kowe tak sepatani dadi Asu! Nganti tekan sak anak putumu! Merga watakmu kaya ASU! Nganti tekan seprene aku dadi ASU sak anak turunku. Aku ora trima! Mataun taun aku golek cara lan kekuatan kanggo nyingkirke Karto. Sak iki wis titi wancine! Kowe kok isa duwe prajurit akeh ki anak putumu kabeh pa? Dudu! Saklonge wong-wong kampung sing tak cokot terus dadi asu! Wooo. jebulane tanggane awake dewe dadi asu! Mulakno kok ora tau dha mulih! Eh, Su! tanggaku isa bali dadi menungsa neh ra Su? Wis ora isa, merga wis tak cokot! Kowe ki cen asu tenan kok su! Klakon tak kemah-kemah tenan kowe Su! Ciaaatttt!!! Kir. Kir wis Kir. Thot Bakir Gocekki Thot! Kir saiki ki wayahe layat ora kerah ro asu! Sabar disik Kir. mengko ana wayahe Kir! Nek ra digoceki ta entekke tenan kowe Su! Aku ra wedi ye. !! Malah ngece! Kir! Nengke wae Kir! (omong ro asu) Su. nek kowe sak prajuritmu ndene ming arep layat tenan. Kana ngetutke nang mburi! Ora ngisruh!! Wis, saiki wis tekan. Delehke kene wae ben isa disawang saben dina. He para Asu. Mbah Karto ora disarekake nang kuburan naging didelehke nang tengah kampung. Didadekake Prasasti, dadi saiki acarane wis rampung tekan kene wae. rasah didongakake kowe rak ya raisa ndonga ta Su? Wis kana da mulih neh! Gek dha muleh malah meneng wae! Heh! Su! Karebmu ki apa ta? Saiki acarane wis rampung! Gelem dha muleh ora!? Gukgukguk. grrrr."
9,"! Aku wegah! kowe sing lunga seka kene! Tenan ta Rip!? Kudune cen disikat mau-mau kok ngeyel! Asu licik! Cen kudu dilawan iki le! Sikat wae Rip!!! (Matane mentheleng lan ambegane nggos-ngosan) ASU JULIG! LICIK! NJIJIKI! SIKAAATTTT!!!! Satu satu aku sayang ibu Kreweng kreweng. kowe duwe bapak ibuk apa ora? Weng-kreweng omahmu ki endi ta? Terus cita-citamu apa weng? Kowe kok isa tekan kene numpak apa weng? Weng, kowe dadi kancaku gelem ra w eng? Mengko awake dewe dolanan engklek bareng. aku wis ra duwe kanca je weng, aku sedih. ki lho. Siwi kancaku siji-sijene wis mati. Gelem ra weng dadi kancaku? Kowe ki ngapa enduk kok omong dewe? Eh Simak ta. aku ki pengin duwe kanca je mak Lha kowe ki yo aneh kok, kon sekolah yo moh. Aku wis isa maca nulis kok mak. Aku ki tenane mesake Simak ro kang Surip je nek sabendina ngeterke aku sekolah. mbok aku tukoke pit tak nggo mangkat sekolah dewe mak. Yo sesuk nduk. nek ana rejeki ta tukoke pit. Tenane simak ki rapapa kok ngeterke kowe sekolah. Aku ki wis kelas enem mak, pengin ajar mandiri je Mak. mangket sekolah sisan pit-pitan ro kanca-kanca mak. Wo. lha ya wis. simak ya melu seneng. Pancen seneng je nduk nek isa dolanan ro kanca-kancane ki. Mak iki aku tuku pit rega nyeket ewu nggo sekolah Sumi. We lha. ki Sum, ditukoke pit mini ro kangmasmu. Nyo Sum, pit-e nggo sekolah. kowe seneng ra Sum. kowe ki ngapa kok sedih? Siwi, Iwakku mati je kang. Kowe ki pethuk kok Sum. nek dileboke banyu yo raisa ambegan! Kowe ki piye ta kang? Wis iwake gek dikubur, nyo pit e nggo pit-pitan! Wah turnuwun ya kang. Kowe kok ndidit le? Aku kerja nang kerajinan Mak, nang kutha! Direkture jenenge Kelik Barjo."
