,text_jw
0,"Diceritakake wonten zaman riyen, nalika Semarang anggadahi Adipati kanthi asma Pandanarang II ingkang nggadhahi isteri ingkang lakung kagungan nami Nyai Pandanarang. Piyambakipun dikenal dados Adipati ingkang jujur, ananging ugi remen dening banda dunya. Sifat kirang sae Adipati menika kamireng dening Sunan Kalijaga, satiyang wali ingkang arif sanget saha wicaksana. Sunan Kalijaga kangungan pangangkah ngelingaken Pandanarang II kaliyan ngremeng utawi nylamur dados tukang ngarit suket. Nalika medal ing plataran Kadipaten, Adipati Pandanarang II ngenyang suketipun kanthi regi andhap sanget. Panyade rumput punika sarujuk uga ngaturaken rumputipun wae ing kandang. Sadereng kesah, piyambakipun nyimpin arta gangsal sen ing antawis tumpukan suket aau. Arta kesebat dipunpanggihaken dening abdi dalem Pandanarang II ingkang banjur lapor kedadean menika dhateng Adipati Pandanarang II. Kedadosan menika terus mawon kedadosan salebetipun setunggal minggu. Pandanarang II gumun kenging punapa bakul suket kesebat mboten nate nakokake wonten pundi artanipun. Nalika bakul suket punika wangsul malih, Pandanarang nangletaken asal saking bakul suket menika. Piyambakipun ugi nangletaken kenging punapa piyambakipun kados mboten mbetahaken arta. Bakul suket ingkang mboten sanes nggeh menika Sunan Kalijaga nuli njawab pitakon saking Pandanarang menawi piyambakipun mboten betah banda ndunya ingkang luwih, amargi sedayanipun mboten enten ingkang lestantun. Piyambakipun ugi sanjang menawi enten Emas ingkang sampun ditanem ing lebet plataran kadipaten. Pandanarang lajeng duka mireng wangsulan punika. Piyambakipun rumaos saweg diece dening bakul suket punika. Nanging, kasunyatane, tembung-tembung tiyang punika leres. Enten Emas ing lebet siti kadipaten. Akhiripun, Adipati Pandanarang nyumerepi menawi tiyang punika nggeh menika Sunan Kalijaga. Adipati punika lajeng nyuwun pangapunten uga nyuwun konjuk dados murid Sunan Kalijaga. Sunan Kalijaga ngijinaken kahti syarat supados Pandanarang cucul saking katrisnan banda ndunya ingkang linuwih. Isteri Adipati ugi kersa ndherek semahipun. Nanging, piyambakipun mboten sudi mengker banda ndunyanipun uga ngabritaken dhateng tiyang fakir. Piyambakipun ngengken semahipun budhal langkung rumiyen."
1,"Lajeng, Nyai Pandanarang ndelekake Emas ing lebet tekenipun ingkang kedamel saking pring. Ing radin, piyambake sedaya diadang dening telung perampok ingkang badhe ngrampok Kanjeng Sunan lan Adipati, ananging Sunan Kalijaga lajeng ngendika: ""Yen siro pengen bondo, tunggunen. Sedelo maneh, bakal lewat wong wadon tuo. Cegaten. Siro kabeh bakal oleh Emas saka teken pring sing digawa piyambake"". Lajeng mboten dangu, Nyai Pandanarang mlampah kaliyan tekenipun. Perampok banjur nyegat uga ngrampok teken saking pring menika ingkang Nyai Pandanarang cepeng. Nyai Pandanarang mboten saget tumindak menapa-menapa kajawi nglepasake bandanipun. Nalika kepanggih kaliyan semahipun uga Sunan Kalijaga, piyambakipun nyeriosaken kedadosan wau kaliyan nangis. ""Panjenengan mboten mirengaken pangandikan semah njenengan. Konjuk ngguru kaliyan kula, panjenengan kedah mengker banda ndunya. Dados, kedadean niki wae salah panjenengan piyambak,"" ngendikan Sunan Kalijaga. Konjuk ngeling kedadosan kesebat, Sunan Kalijaga paring nami daerah punika kaliyan nami Salah Telu amergi enten tigang tiyang ingkang numindakake kalepatan ing mriki, nggeh menika panjenengan piyambak, semah panjenengan, uga para perampok wau. Mbenjang, wonten ing mriki badhe dados kitha ingkang rame,"" ngendikan Kanjeng Sunan."
2,"Pancen priyantun Jawi salajeng hubung-hubungke samukawis kaliyan hal mistis. Ingkang langkung dahsyat malih kapitadosan legenda Nyi Blorong. Ngantos-ngantos produser film ugi mboten kresa kasoran kaliyan fenomena kesebat ngantos ngasta film kanthi dipunkartikani Almarhumah Suzzana. Pancen leres, Jin ingkang kagungan wujud separuh sawer ugi sakageman malih manungsa. Nyi Blorong panitados dados pipinan paling kiyat wonten kenalendran lelembut samodra kidul. Kaliyan kasektenipun, Nyi blorong dianggep sagah paring saben panyuwun manusia ingkang nyuwun pitulung tumrap piyambake. Anangeng saktemene kedadean menika namung dados salah satunggaling cara jin kagem ngilangake iman lan ketaqwaan manungsa. Menawi Kanjeng Ratu Kidul salebetipun menika dipuntepang dados panguwaos ghaib keraton segoro kidul ugi Nyi Roro Kidul dados Ajudannya, mila Nyi Blorong dipuntepang dados salah satunggal panginggil wonten jajaran keraton segoro kidul ingkang gadah kasekten ingkang linangkung. Amargi kelinangkunganipun punika ugi Nyi Blorong keanggep saged nuruti saben penjaluki manungsa ingkang nyuwun pitulung. Legenda nyi blorong dalam bahasa jawa ingkang kawujud tiyang setri kaliyan salira sawer punika pitados bilih saged ndhatengaken pesugihan kagem priyantun ingkang sekuti kaliyan piyambake. Rupa Nyi Blorong ingkang dados sapriyantun ratu kaliyan klambi tradisional ingkang katon serasi punika sakasinggihanipun ngrupikaken perwujudan saking sosok Nyi Blorong. Amargi kasektene, Nyi blorong saged ganti rupa kanthi sanalika. Sakasinggihanipun, nyamping sulaman benang jene ingkang dipunagemipun punika yaiku wujud saking saliranipun kageman ngandap ingkang wujud sawer denawa. Mungale, wonten ndalu wulan purnama Nyi Blorong badhe ketingal tambah endah, ugi tuah kesaktenipun dados langkung sekti. Tuah kesaktian punika piyambak, badhe ndukung wujud kendahanipun. Sayangipun, tembe wulan purnama miwiti surut, panjenenganipun badhe enggal nampak kaliyan wujud sejatosipun nggih menika jin ingkang anggadahi wujud setengah sawer. Temtu kita sedaya nggalih saupakara waluya, banda pancen nalendra sayangipun sanes samukawisipun. Pancen kaliyan banda kita sedaya saged mujudtaken samukawisipun. Ananiging kebagyan sejatos diukur saking ngantos dugi pundi kita sedaya puas ugi bersyukur sanes saking banda ingkang kita gadhahi."
3,Namung dhateng Allah SWT ingkang mentis samukawisipun kita sedaya nyuwun. Amien.
4,"Ing jaman riyen wonten tlatah Jawa Timur gesang Raja lan Permaisuri ingkang sami-sami tresna. Kados pundikemawon permaisuri menika ugi anggadahi paras engkang ayu lan gemati dening keluargi. Gejaba menika piyambake ugi setiya sanget dening garwanipun. Wonten sawijining dinten, Raja nduwe pangangkah kesah datheng ngalas konjuk berburu menjangan utawi sangsam. Raja banjur bidhal kanti rencangi para pengawale. Saksampune dangu wonten ngalas, Raja banjur kondur datheng kraton. Permaisuri bungah sanget nalika ningali Raja kondur. Permaisuri caos pirsa dateng Raja menawi sakjroning Raja kesah wonten tami saking keraton sanes. Nanging nalikaning Raja badhe memoni tamu punika, dumadakan Raja mireng menawi tamu kesebat akrab sanget dening Permaisuri. Kedadean menika anggawe Raja duka uga cemburu lan nuduh Permaisuri sampun selingkuh kaliyan tamu punika. Permaisuri mitadosaken Raja menawi punika mboten leres. Nanging Raja tetap mboten percaya marang Permaisuri. Sinambi nangis banjir eluh Permaisuri criyos: ""Rama, kula kersa mbuktikaken menawi kula mboten salah, Kula badhe nyemplung wonten kali wingking keraton, menawi mangke toya kali punika mambu busuk, nandake tuduhan Rama dateng kula menika leres. Nanging, menawi toya kali punika wangi, nandake tuduhan dening kula mboten leres, ""wilujeng tilar Rama"". Sakwise kedadean kesebat, kali panggen tilaripun Permaisuri punika dipunsukani nami ""BANYUWANGI""."
5,"Ing jaman dhikik, pulau Jawa durung akeh daerah sing dihuni manungsa. Akehan wilayahe yaiku alas gung liwang-liwung sing dihuni saka para lelembut lan kewan liar. Kaanan pulau Jawa ing wayah kuwi miring, sehingga ngawatirke makluk kang urip ana pulau Jawa. Namung ana setitik panggonan kang bisa dihuni saka sekelompok manusia sing urip kanthi nggerombol lan dhemen ngalih-alih amarga keganasan alam lan mungsuh. Para penghuni pulau Jawa iki ora ngelingi yen lemah sing dekne kabeh panggoni kuwi sabenere miring, dadine ana kekuwatiran arep longsor lan angslep ana segara kidul. Sing meruhi kaanan iki yaiku para dewa neng kayangan sing peaduli kelangsungan urip para penghuni pulau Jawa wayah kuwi. Para dewa neng kayangan akhire sepakat kanggo nggawe supaya pulau Jawa ora miring, dadine para penghunine bisa kembang biak lan tambah maju peradabane. Rasa wedhi sing pada dirasakake mesti wae ora bisa disingkiri meneh. Ora mung menungsa sing keweden ning para penghuni liyane klebu binatang uga mlayu amerga saking wedhine. Selanjutnya cerita rakyat bahasa jawa nyritakae para dewa. Para dewa banjur ngrembug meneh kanggo nentoke pengimbang kang bakal diselehna neng tengah pulau kuwi. Para dewa mutusake bakal nggunakne gunung Jamurdwipa sing terkenal banget kanggo makhluk-makhluk gaib lan dhuwur banget. Para dewa banjur njaluk ijin marang penghuni gunung Jamurdwipa supaya cepet ngalih saka panggonan kui, amarga gunung sing dekne kabeh panggoni arep dialihake menyang tengah-tengah pulau Jawa. Saka lokasi kang wis ditentoke sakjroning rembugkan, jebulna dihuni menungsa loro sing lagi tandhang gawe neng tengah alas gung liwang-liwung. Wong loro kuwi tenyata empu sing lagi nggawe keris. Para dewa banjur ngongkon Dewa Panyarikan lan Batara Naradha sekalian para prajurit kanggo ngandhani marang wong kuwi ben cepet ngalih amarga panggone arep didokokake gunung Jamurdwipa. Bagaimana kisah selanjutnya cerita rakyat bahasa jawa bisa kita simak di bawah ini."
6,"Para utusan dewa kuwi mau pada gumun ndeleng empu sing pada lagi nggawe keris tanpa alat. Empu kuwi lagi nyampur werno-erno bahan logam lan amung nganggo tangan kosong dekne kabeh nggunake epek-epek lan driji kanggo mbetuk lan ngukir campuran logam kuwi nganti atos. Pagawean empu nang wayah kuwi mesti wae ora bisa disela amarga merloake konsantrasi dhuwur kanggo ngolah logam kuwi. Para utusan dewa banjur nunggu, lelehan wesi kuwi banjur digebug-gebug lan diurut-urut para empu kuwi mung kanthi tangan. Lan sing luwih nggumunake meneh lelehan logam kuwi katon abang murup dadi mawa ning tangan para empu kuwi ora kobong sethithika wae. Pagawean empu kuwi sabenere durung rampung nanging amarga ana dawuh penting, mula gaweane dindhegke sawentara lan memoni dawuh saka kayangan kesebut. Empu kesebut banjur ngenalake piyambake sing sijine nduwe jeneng Mpu Permadi, sing sijine meneh nduwe jeneng Mpu Rama. Sakwise padha ngenalake piyambake lan wawan pangandikan, akhire Batara Naradha lan Dewa Panyarikan ngaturke kekarepane. Batara Naradha ngaturke kekarepane, yaiku nyaranke supaya para empu mau cepet pindah saka lokasi kuwi amarga arep didelehi gunung gedhe sing bakal digunakne kanggo nyeimbangke pulau Jawa sing lagi miring. Batara Naradha nggamblangna babagkan kedadeane gempa lan kaanan pulau Jawa sing ngawatirke banget lan ngarepke supaya Empu kuwi gelem ngerti lan nuruti kekarepane tanpa ana alangan. Ora lali Dewa Panyarikan ugo nggamblangna pentinge pagawean kuwi kanggo keterasan urip para penghuni pulau Jawa. Dalam kisah cerita rakyat bahasa jawa selanjutnya mengisahkan kedua Mpu yang tidak mau memenuhi perintah Dewa. Mpu Permadi lan Mpu Rama bingung lan padha delengan. Katon saka raine kaya ora gelem nuruti kekarepan para dewa amerga para empu kuwi nduweni kepentingan panggawean sing durung rampun mau. Lan jebulna loro empu kuwi ora gelem nek kudu ngalih panggonan, sakwentara pagawean nggawe kerise lagi wae dimulai lan kudu dirampungke ana lokasi kuwi."
7,"Para Empu kuwi ngaturke yen panggawen kerise kuwi mau ora rampung kanthi sempurna maka bakal nekakake lelakon kanggo manungsa, mula dekne kabeh njaluk kudu nunggu nganti gaweane rampung. Para utusan Dewa nduwe pemikiran yen penggawean iki yaiku perkara sing bersifat penting, dadine menawa kudu nggunakne peperangan bakal dilakoni dheweke. Para utusan Dewa kuwi ora leren-leren njelaske menawa tugas sing digawa iku kanggo keterasan urip umat neng pulau Jawa. Ning para Empu kuwi uga tetep nang kekarepane, nek pangerjan keris kuwi ora sempurna uga arep nekakake lelakon kanggo manungsa. Amerga ora ana pihak sing gelem ngalah kahanane tambah dadi ora karuwan. Merga alasan sing penting banget, mula para utusan Dewa banjur nggunakne peperangan kanthi ngerahke kabeh prajurit pengawale kanggo nyerang empu kuwi. Ananging mergo kasekten saka para Empu mau mula kabeh prajurit bisa dikalahake kanthi entheng. Saiki kari ana papat yaiki utusan Dewa lan 2 empu, dekne kabeh adhep-adhepan lan kedadeana duel siji mungsuh siji. Duel iki katon imbang antara siji lan sijine nganti gawe panggonan sekitare pada bosah-baseh, akeh watu pada mambur lan ajur dadi awu, wit gedhe-gedhe ambruk lan keluk utawa kebul mumbul. Bagaimana kisah cerita rakyat bahasa jawa selanjutnya simak di bawah ini. Batara guru banjur menehi titah marang Dewa Bayu kanggo menehi pelajaran marang Mpu Rama lan Mpu Permadi. Dewa Bayu dikongkon supaya cepet ngalihake gunung Jamurdwipa kanthi di damu. Batara guru ora praduli karo kaslametan empu kuwi amarga wis ngelehke para dewa lan mbahayake kaslametan umat manungsa. Dewa Bayu banjur mangkat menyang segara kidul. Kanthi kasaktene, Dewa Bayu banjur ndamu gunung kuwi. Damuan Dewa Bayu sing kaya angin topan gawe gunung Jamurdwipa mabur nganti tekan langit banjur tiba pas neng panggonan empu kesebut. Mpu Rama lan Mpu Permadi sing ana ing panggon kuwi melu ketindih gunung Jamurdwipa nganti mati saknalika."
8,"Banjur roh para empu kesebut ora bisa katampa neng suwargo lan dadi panunggu gunung kuwi. Senajan Mpu Rama lan Mpu Permadi sing sakti kuwi wis mati ketindihan gunung, nanging kasektene ora luntur. Bakal keris sing isih proses mau isih murup lan ora bisa dipateni kajaba saka empu sing wis mati kesebut malah keris kui mau terus-terusan murup lan dadi kawah ana ing tengah gunung Jamurdwipa. Amerga awale panggonan gunung iki yaiku kawujud api utawa geni mula para dewa ngganti jeneng gunung Jamurdwipa kanthi jelukan Gunung Merapi."
9,"Ing jaman riyen gesang satiyang randha ingkang sugih, kanthi asma Nyai Bagendit. piyambakipun tilar ing setunggal dhusun daerah Jawi kilen. Nyai Bagendit nggadhahi banda ingkang berlimpah ruah. Ananging piyambake pelit sanget uga tamak. Piyambakipun ugi sombong sanget dening wong kere. Saktunggaling dinten Nyai Bagendit ngawontenaken wilujengan amargi bandanipun minggah kathah. Nalika wilujengan punika kawiwitan, dughi satiyang pengemis. kawontenan pengemis punika mrihatinke sanget. Awakipun kurus sanget uga rasukanipun compang-camping mboten karuan. ""tulung Nyai, paring kula sekedhik maeman,""pengemis punika nyuwun dateng Nyi Bagendit. Ningali pengemis sepuh ingkang reged uga compang-camping mlebet datheng griyanipun,Nyai Bagendit duka uga ngusir pengemis saking griyanipun. ""Pengemis reged ora ngerti isen, lungo kowe saka omahku,"" getak Nyai Bagendit. kaliyan sedhih pengemis punika banjur kesah. (Selanjutnya Cerita bahasa jawa legenda) Wonten esok dintenipun masyarakat dipunribetaken kaliyan muncule biting ingkang nancep ing radin (mergi) dhusun. Sedaya tiyang ngupados njebol biting ingkang nancep punika. Anangig, mboten enten ingkang saget. Pengemis sepuh ingkang nedha tedha ing Nyai Bagendit muncul malih. Kanthi gelis piyambakipun saged njebol biting punika. Saknalika medal pancuran toya ingkang banter sanget saking tipak biting kang nancep kui mau. Soyo dangu toya punika soyo banter lan amba. Amargi ajrih kebanjiran, penduduk dhusun punika ngungsi ing wilayah sanes kang langkung nduwur. Nyai Bagendit ingkang kikir uga tamak mboten kersa ninggal griyanipun. Piyambakipun tresna sanget marang bandanipun. Pungkasane, piyambake klelep sareng kaliyan banda-banda ne. Saking kedadean menika banjur tlaga kang wonten daerah setempat pun arani situ menika diparingi nami Situ Bagendit."
